Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,System Family,System Model,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
6,Texas Advanced Computing Center/Univ. of Texas,Sun Microsystems,"SunBlade x6420, Opteron QC 2.3 Ghz, Infiniband",United States,2008,62976,433200.0,579379.0,0,0,2000.0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,Sun Blade System,Sun Blade x6420,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
14,Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Supérieur (GENCI-CINES),SGI,"SGI Altix ICE 8200EX, Xeon quad core 3.0 GHz",France,2008,12288,128400.0,146736.0,1817000,0,608.18,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe
15,National Institute for Computational Sciences/University of Tennessee,Cray Inc.,Cray XT4 QuadCore 2.3 GHz,United States,2008,17956,125128.0,165195.0,1367871,0,888.82,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,Cray XT,Cray XT4 QuadCore,CNL,MPP,Academic,Not Specified,Proprietary,XT4 Internal Interconnect,North America,Americas
16,IDRIS,IBM,Blue Gene/P Solution,France,2008,40960,112500.0,139264.0,0,0,315.0,Power,PowerPC 450,850,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Academic,Not Specified,Proprietary,Proprietary,Western Europe,Europe
19,"Computer Network Information Center, Chinese Academy of Science",Lenovo,"DeepComp 7000, HS21/x3950 Cluster, Xeon QC HT 3 GHz/2.93 GHz, Infiniband",China,2008,12216,102800.0,145965.0,1600000,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,Lenovo Cluster,Lenovo DeepComp 7000,Linux,Cluster,Academic,Research,Infiniband,Infiniband,Eastern Asia,Asia
27,"Information Technology Center, The University of Tokyo",Hitachi,"Hitachi Cluster Opteron QC 2.3 GHz, Myrinet 10G",Japan,2008,12288,82984.0,113050.0,1433600,0,638.6,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,Hitachi Cluster,Hitachi Cluster,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet 10G,Eastern Asia,Asia
29,"GSIC Center, Tokyo Institute of Technology",NEC/Sun,"Sun Fire x4600/x6250, Opteron 2.4/2.6 GHz, Xeon E5440 2.833 GHz, ClearSpeed CSX600, nVidia GT200; Voltaire Infiniband",Japan,2008,30976,77480.0,161816.0,995328,0,0.0,AMD x86_64,AMD x86_64 Opteron Dual Core,2400,Sun Fire - Cluster,Fire x4600 Cluster,SuSE Linux Enterprise Server 9,Cluster,Academic,Not Specified,Infiniband,Infiniband,Eastern Asia,Asia
31,CSC (Center for Scientific Computing),Cray Inc.,Cray XT5/XT4 QC 2.3 GHz,Finland,2008,10816,76510.0,99507.0,0,0,515.62,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,Cray XT,Cray XT5 QuadCore,CNL,MPP,Academic,Not Specified,Proprietary,XT4 Internal Interconnect,Northern Europe,Europe
32,"Center for Computational Sciences, University of Tsukuba",Appro International,"Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband",Japan,2008,10000,76460.0,92000.0,1508000,0,671.8,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,Appro HyperBlade,Appro XtremeServers,Redhat Linux,Cluster,Academic,Research,Infiniband,Infinband DDR 4x,Eastern Asia,Asia
34,"Rensselaer Polytechnic Institute, Computational Center for Nanotechnology Innovations",IBM,eServer Blue Gene Solution,United States,2007,32768,73032.0,91750.0,884735,0,358.4,Power,PowerPC 440,700,IBM BlueGene,BlueGene/L,CNK/SLES 9,MPP,Academic,Research,Proprietary,Proprietary,North America,Americas
