Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,Processor Cores,System Family,System Model,Operating System,Accelerator,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
5,"GSIC Center, Tokyo Institute of Technology",NEC/HP,"HP ProLiant SL390s G7 Xeon 6C X5670, Nvidia GPU, Linux/Windows",Japan,2010,73278,1192000.0,2287630.0,2490368,0,1398.61,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000SL,Cluster Platform SL390s G7,Linux,NVIDIA 2050,Cluster,Academic,Research,Infiniband,Infiniband QDR,Eastern Asia,Asia
11,National Institute for Computational Sciences/University of Tennessee,Cray Inc.,Cray XT5-HE Opteron Six Core 2.6 GHz,United States,2011,112800,919100.0,1173000.0,3844936,0,3090.0,AMD x86_64,AMD x86_64 Opteron Six Core,2600,6,Cray XT,Cray XT5-HE,Linux,None,MPP,Academic,Research,Proprietary,Proprietary,North America,Americas
13,Moscow State University - Research Computing Center,T-Platforms,"T-Platforms T-Blade2/1.1, Xeon X5570/X5670 2.93 GHz, Nvidia 2070 GPU, Infiniband QDR",Russia,2011,33072,674105.0,1373060.0,2073599,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,T-Platforms Cluster,T-Platforms T-Blade2,Linux,NVIDIA 2070,Cluster,Academic,Not Specified,Infiniband,Infiniband,Eastern Europe,Europe
17,Texas Advanced Computing Center/Univ. of Texas,Oracle,"SunBlade x6420, Opteron QC 2.3 Ghz, Infiniband",United States,2008,62976,433200.0,579379.0,0,0,2000.0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Sun Blade System,Sun Blade x6420,Linux,None,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
22,Universitaet Frankfurt,Clustervision/Supermicro,"Supermicro Cluster, QC Opteron 2.1 GHz, ATI Radeon GPU, Infiniband",Germany,2011,16368,299300.0,508499.0,2095104,0,0.0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Supermicro Cluster,Supermicro SuperServer,Linux,ATI GPU,Cluster,Academic,Research,Infiniband,Infiniband QDR,Western Europe,Europe
24,University of Edinburgh,Cray Inc.,Cray XE6 12-core 2.1 GHz,United Kingdom,2011,44376,279636.0,372758.0,0,0,0.0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Cray XE,Cray XE6,Linux,None,MPP,Academic,Research,Custom,Custom,Northern Europe,Europe
28,Texas Advanced Computing Center/Univ. of Texas,Dell,"Dell PowerEdge M610 Cluster, Xeon 5680 3.3Ghz, Infiniband QDR",United States,2011,22656,251800.0,301777.0,2128224,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),3330,6,Dell PowerEdge Cluster,PowerEdge M610 Cluster,Linux,None,Cluster,Academic,Research,Infiniband,Infiniband QDR,North America,Americas
30,Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Supérieur (GENCI-CINES),SGI,"SGI Altix ICE 8200EX, Xeon E5472 3.0/X5560 2.8 GHz",France,2010,23040,237800.0,267878.0,2487240,0,1064.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,SGI Altix,SGI Altix ICE 8200EX,SLES10 + SGI ProPack 5,None,MPP,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe
31,KTH - Royal Institute of Technology,Cray Inc.,Cray XT6m 12-Core 2.1 GHz,Sweden,2011,36384,237200.0,305626.0,1306392,0,658.35,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Cray XT,Cray XT6m,Linux,None,MPP,Academic,Not Specified,Custom,Custom,Northern Europe,Europe
32,Universitaet Aachen/RWTH,Bull SA,"Bullx B500 Cluster, Xeon X56xx 3.06Ghz, QDR Infiniband",Germany,2011,25448,219838.0,270538.0,2145920,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),3060,6,Bull Bullx,Bullx B500 Cluster,Linux,None,Cluster,Academic,Research,Infiniband,Infiniband QDR,Western Europe,Europe
33,"Institute of Process Engineering, Chinese Academy of Sciences","IPE, Nvidia, Tyan","Mole-8.5 Cluster Xeon L5520 2.26 Ghz, nVidia Tesla, Infiniband",China,2010,33120,207300.0,1138440.0,1113600,0,0.0,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2260,4,Custom Cluster,Mole-8.5 Cluster Xeon/Tesla/Mellanox QDR Infiniband,Linux,NVIDIA 2050,Cluster,Academic,Not Specified,Infiniband,Infiniband QDR,Eastern Asia,Asia
39,King Abdullah University of Science and Technology,IBM,Blue Gene/P Solution,Saudi Arabia,2009,65536,190900.0,222822.0,0,0,504.0,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,None,MPP,Academic,Not Specified,Proprietary,Proprietary,Western Asia,Asia
48,University of Tokyo/Institute for Solid State Physics,SGI,"SGI Altix ICE 8400EX Xeon X5570 4-core 2.93 GHz, Infiniband",Japan,2010,15360,161800.0,180019.0,2351496,0,719.3,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,SGI Altix,SGI Altix ICE 8400EX,Linux,None,MPP,Academic,Not Specified,Infiniband,Infiniband QDR,Eastern Asia,Asia
52,University of Colorado,Dell,"PowerEdge C6100 Cluster, Xeon X5660 2.8 Ghz, Infiniband",United States,2010,15648,152200.0,175258.0,1757600,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,Dell PowerEdge Cluster,PowerEdge C6100 Cluster,Linux,None,Cluster,Academic,Research,Infiniband,Infiniband QDR,North America,Americas
55,CLUMEQ - McGill University,IBM,"iDataPlex DX360M3, Xeon 2.66, Infiniband",Canada,2010,14400,136300.0,153216.0,1532160,0,376.75,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,IBM iDataPlex,iDataPlex DX360M3,Linux,None,Cluster,Academic,Not Specified,Infiniband,Infiniband QDR,North America,Americas
56,Vienna Scientific Cluster,Megware,"Megware Saxonid 6100, Opteron 8C 2.2 GHz, Infiniband QDR",Austria,2011,20700,135600.0,185011.0,1200000,0,430.0,AMD x86_64,AMD x86_64 Opteron 8 Core,2200,8,Megware Cluster,Saxonid 6100,Linux,None,Cluster,Academic,Research,Infiniband,Infiniband QDR,Western Europe,Europe
63,University of Southern California,Dell/Sun/IBM,"PowerEdge 1950/SunFire X2200/IBM dx340/dx360/HP SL160, Xeon/Opteron 2.3-2.67GHz, Myrinet 10G",United States,2011,17280,126400.0,175990.0,1718800,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2333,4,Dell/Sun/IBM Cluster,PowerEdge 1950/SunFire X2200/iDataPlex Cluster,CentOS,None,Cluster,Academic,Not Specified,Myrinet,Myrinet 10G,North America,Americas
64,National Computational Infrastructure National Facility (NCI-NF),Oracle,"Sun Blade x6048, Xeon X5570 2.93 Ghz, Infiniband QDR",Australia,2010,11936,126400.0,139890.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Sun Blade System,Sun Blade 6048,CentOS,None,Cluster,Academic,Research,Infiniband,Infiniband,Australia and New Zealand,Oceania
65,University of Chicago,Cray Inc.,Cray XE6 12-core 2.1 GHz,United States,2010,17856,125800.0,149990.0,0,0,0.0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Cray XE,Cray XE6,Linux,None,MPP,Academic,Research,Custom,Custom,North America,Americas
66,National Institute for Computational Sciences/University of Tennessee,Cray Inc.,Cray XT4 QuadCore 2.3 GHz,United States,2008,17956,125128.0,165195.0,1367871,0,888.82,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT4 QuadCore,CNL,None,MPP,Academic,Research,Proprietary,XT4 Internal Interconnect,North America,Americas
69,IDRIS,IBM,Blue Gene/P Solution,France,2008,40960,119310.0,139264.0,0,0,315.0,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,None,MPP,Academic,Not Specified,Proprietary,Proprietary,Western Europe,Europe
76,Joint Supercomputer Center,Hewlett-Packard,"Cluster Platform 3000 BL460c/BL2x220, Xeon 54xx 3 Ghz, Infiniband",Russia,2009,11680,107448.0,140160.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon X54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c/BL 2x220,Linux,None,Cluster,Academic,Research,Infiniband,Infinband DDR 4x,Eastern Europe,Europe
77,HLRN at Universitaet Hannover / RRZN,SGI,"SGI Altix ICE 8200EX, Xeon QC E5472 3.0 GHz/X5570 2.93 GHz",Germany,2009,10240,107100.0,120730.0,1535480,0,0.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,SGI Altix,SGI Altix ICE 8200EX,SLES10 + SGI ProPack 5,None,MPP,Academic,Research,Infiniband,Infiniband,Western Europe,Europe
78,HLRN at ZIB/Konrad Zuse-Zentrum fuer Informationstechnik,SGI,"SGI Altix ICE 8200EX, Xeon QC E5472 3.0 GHz/X5570 2.93 GHz",Germany,2009,10240,107100.0,120730.0,1535480,0,0.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,SGI Altix,SGI Altix ICE 8200EX,SLES10 + SGI ProPack 5,None,MPP,Academic,Research,Infiniband,Infiniband,Western Europe,Europe
