Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax,Rpeak,Efficiency (%),Nmax,Nhalf,Power,Mflops/Watt,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
1,,40,1,Titan,"Cray XK7 , Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x",DOE/SC/Oak Ridge National Laboratory,Cray Inc.,United States,2012,Research,560640,261632,17590000.0,27112550.0,64.88,0,0,8209.0,2142.77,MPP,Opteron 6274 16C 2.200GHz,AMD x86_64,2200,Cray Linux Environment ,Linux,NVIDIA K20x,16,"Opteron 6200 Series ""Interlagos""",Cray XK7 ,Cray XK,Cray Interconnect,Cray Gemini interconnect,North America,Americas
2,1.0,38,17,Sequoia,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom",DOE/NNSA/LLNL,IBM,United States,2011,Research,1572864,0,16324751.0,20132659.2,81.09,12681215,0,7890.0,2069.04,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
3,2.0,37,1,,"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect",RIKEN Advanced Institute for Computational Science (AICS),Fujitsu,Japan,2011,Research,705024,0,10510000.0,11280384.0,93.17,11870208,0,12659.89,830.18,Cluster,SPARC64 VIIIfx 8C 2.000GHz,Sparc,2000,Linux,Linux,None,8,SPARC64 VIIIfx,K computer,Fujitsu Cluster,Custom Interconnect,Custom Interconnect,Eastern Asia,Asia
4,3.0,39,3,Mira,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",DOE/SC/Argonne National Laboratory,IBM,United States,2012,Research,786432,0,8162376.0,10066330.0,81.09,0,0,3945.0,2069.04,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
5,8.0,39,8,JUQUEEN,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",Forschungszentrum Juelich (FZJ),IBM,Germany,2012,Research,393216,0,4141180.0,5033165.0,82.28,6422527,0,1970.0,2102.12,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Western Europe,Europe
8,5.0,36,1,Tianhe-1A,"NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050",National Supercomputing Center in Tianjin,NUDT,China,2010,Research,186368,100352,2566000.0,4701000.0,54.58,3600000,1000000,4040.0,635.15,MPP,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,NVIDIA 2050,6,Xeon 5600-series (Westmere-EP),NUDT YH MPP,NUDT MPP,Proprietary Network,Proprietary,Eastern Asia,Asia
10,23.0,39,23,DARPA Trial Subset,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect",IBM Development Engineering,IBM,United States,2012,Vendor,63360,0,1515000.0,1944391.68,77.92,0,0,3575.63,423.7,MPP,POWER7 8C 3.836GHz,Power,3836,Linux,Linux,None,8,POWER7,Power 775,IBM pSeries,Custom Interconnect,Custom Interconnect,North America,Americas
11,9.0,39,9,Curie thin nodes,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR",CEA/TGCC-GENCI,Bull SA,France,2012,Research,77184,0,1359000.0,1667174.0,81.52,5757528,0,2251.0,603.73,Cluster,Xeon E5-2680 8C 2.700GHz,Intel SandyBridge,2700,bullx SUperCOmputer Suite A.E.2.1,Linux,None,8,Intel Xeon E5,Bullx B510,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
12,10.0,35,2,Nebulae,"Dawning TC3600 Blade System, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2050",National Supercomputing Centre in Shenzhen (NSCS),Dawning,China,2010,Research,120640,64960,1271000.0,2984300.0,42.59,2359296,0,2580.0,492.64,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2050,6,Xeon 5600-series (Westmere-EP),Dawning TC3600 Blade System,Dawning Cluster,Infiniband,Infiniband QDR,Eastern Asia,Asia
13,,40,13,Yellowstone,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",NCAR (National Center for Atmospheric Research),IBM,United States,2012,Research,72288,0,1257615.0,1503590.0,83.64,0,0,1436.72,875.34,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,North America,Americas
14,11.0,37,7,Pleiades,"SGI ICE X/8200EX/8400EX, Xeon 54xx 3.0/5570/5670/E5-2670 2.93/2.6/3.06/3.0 Ghz, Infiniband QDR/FDR",NASA/Ames Research Center/NAS,SGI,United States,2011,Research,125980,0,1243000.0,1731836.0,71.77,3204600,0,3986.96,311.77,MPP,Xeon E5450 4C 3.000GHz,Intel Core,3000,Linux,Linux,None,4,"Xeon 5400-series ""Harpertown""",SGI ICE 8200EX/8400EX,SGI Altix,Infiniband,Infiniband,North America,Americas
16,13.0,39,13,Blue Joule,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",Science and Technology Facilities Council - Daresbury Laboratory,IBM,United Kingdom,2012,Research,114688,0,1207844.0,1468006.0,82.28,0,0,575.31,2099.47,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Northern Europe,Europe
18,15.0,37,6,Cielo,"Cray XE6, Opteron 6136 8C 2.40GHz, Custom",DOE/NNSA/LANL/SNL,Cray Inc.,United States,2011,Research,142272,0,1110000.0,1365811.2,81.27,0,0,3980.0,278.89,MPP,Opteron 6136 8C 2.400GHz,AMD x86_64,2400,Linux,Linux,None,8,"Opteron 6100-series ""Magny-Cours"" ",Cray XE6,Cray XE,Custom Interconnect,Custom Interconnect,North America,Americas
19,16.0,36,5,Hopper,"Cray XE6, Opteron 6172 12C 2.10GHz, Custom",DOE/SC/LBNL/NERSC,Cray Inc.,United States,2010,Research,153408,0,1054000.0,1288627.2,81.79,4537344,0,2910.0,362.2,MPP,Opteron 6172 12C 2.100GHz,AMD x86_64,2100,Linux,Linux,None,12,"Opteron 6100-series ""Magny-Cours"" ",Cray XE6,Cray XE,Custom Interconnect,Custom Interconnect,North America,Americas
20,17.0,36,6,Tera-100,Bull bullx super-node S6010/S6030,Commissariat a l'Energie Atomique (CEA),Bull SA,France,2010,Research,138368,0,1050000.0,1254550.0,83.7,4926336,0,4590.0,228.76,Cluster,Xeon X7560 8C 2.260GHz,Intel Nehalem,2260,Linux,Linux,None,8,Xeon 5500-series (Nehalem-EX),bullx super-node S6010/S6030,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
22,19.0,34,2,Roadrunner,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Voltaire Infiniband",DOE/NNSA/LANL,IBM,United States,2009,Research,122400,110160,1042000.0,1375776.0,75.74,2249343,0,2345.0,444.35,Cluster,PowerXCell 8i 9C 3.200GHz,Power,3200,Linux,Linux,IBM PowerXCell 8i,9,PowerXCell 8i,BladeCenter QS22 Cluster,IBM BladeCenter,Infiniband,Infiniband,North America,Americas
24,,40,24,,"Fujitsu PRIMERGY CX250 S1, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","National Computational Infrastructure, Australian National University",Fujitsu,Australia,2012,Research,53504,0,978600.0,1112883.0,87.93,3290496,561792,,,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Fujitsu PRIMERGY CX250 S1,Fujitsu Cluster,Infiniband,Infiniband FDR,Australia and New Zealand,Oceania
