Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Energy Efficiency [GFlops/Watts],Memory,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
1,,64,1,El Capitan,"HPE Cray EX255a, AMD 4th Gen EPYC 24C 1.8GHz, AMD Instinct MI300A, Slingshot-11, TOSS",DOE/NNSA/LLNL,HPE,United States,2024,Research,11039616,9988224.0,1742000.0,2746376.09,25446528.0,,,29580.98,Submitted,58.88919164,,MPP,AMD 4th Gen EPYC 24C 1.8GHz,AMD Zen-4 (Genoa),1800,TOSS,Linux,AMD Instinct MI300A,24,AMD Zen-4 (Genoa),HPE Cray EX255a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,49763,180307
2,1.0,59,1,Frontier,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11, HPE Cray OS",DOE/SC/Oak Ridge National Laboratory,HPE,United States,2021,Research,9066176,8451520.0,1353000.0,2055716.99,24837120.0,,14054.0,24607.0,Submitted,54.98435405,,MPP,AMD Optimized 3rd Generation EPYC 64C 2GHz,AMD Zen-3 (Milan),2000,HPE Cray OS,Linux,AMD Instinct MI250X,64,AMD Zen-3 (Milan),HPE Cray EX235a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,48553,180047
3,2.0,62,2,Aurora,"HPE Cray EX - Intel Exascale Compute Blade, Xeon CPU Max 9470 52C 2.4GHz, Intel Data Center GPU Max, Slingshot-11",DOE/SC/Argonne National Laboratory,Intel,United States,2023,Research,9264128,8159232.0,1012000.0,1980006.0,28773888.0,,5612.6,38698.36,Submitted,26.15097901,,MPP,Xeon CPU Max 9470 52C 2.4GHz,Intel Sapphire Rapids,2400,SUSE Linux Enterprise Server 15 SP4,Linux,Intel Data Center GPU Max,52,Intel Xeon Max,HPE Cray EX - Intel Exascale Compute Blade,HPE Cray EX - Intel Exascale Compute Blade,Gigabit Ethernet,Slingshot-11,North America,47347,180183
4,3.0,62,3,Eagle,"Microsoft NDv5, Xeon Platinum 8480C 48C 2GHz, NVIDIA H100, NVIDIA Infiniband NDR",Microsoft Azure,Microsoft Azure,United States,2023,Industry,2073600,1900800.0,561200.0,846835.2,11796480.0,,,,,,,Cluster,Xeon Platinum 8480C 48C 2GHz,Intel Sapphire Rapids,2000,Ubuntu 22.04,Linux,NVIDIA H100,48,Xeon Platinum (Sapphire Rapids),Microsoft NDv5,Microsoft Azure Cluster,Infiniband,NVIDIA Infiniband NDR,North America,50981,180236
5,,64,5,HPC6,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11, RHEL 8.9",Eni S.p.A.,HPE,Italy,2024,Industry,3143520,2930400.0,477900.0,606965.76,13914880.0,,,8460.9,Submitted,56.48335283,,MPP,AMD Optimized 3rd Generation EPYC 64C 2GHz,AMD Zen-3 (Milan),2000,RHEL 8.9,Linux,AMD Instinct MI250X,64,AMD Zen-3 (Milan),HPE Cray EX235a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Europe,50489,180315
6,4.0,55,1,Supercomputer Fugaku,"Supercomputer Fugaku, A64FX 48C 2.2GHz, Tofu interconnect D",RIKEN Center for Computational Science,Fujitsu,Japan,2020,Research,7630848,,442010.0,537212.0,21288960.0,,16004.5,29899.23,Submitted,14.78332385,,MPP,A64FX 48C 2.2GHz,Fujitsu ARM,2200,Red Hat Enterprise Linux,Linux,None,48,Fujitsu A64FX,Supercomputer Fugaku,Fujitsu Cluster,Proprietary Network,Tofu interconnect D,Asia,50831,179807
7,6.0,63,6,Alps,"HPE Cray EX254n, NVIDIA Grace 72C 3.1GHz, NVIDIA GH200 Superchip, Slingshot-11, HPE Cray OS",Swiss National Supercomputing Centre (CSCS),HPE,Switzerland,2024,Research,2121600,1372800.0,434900.0,574841.28,15400960.0,,3671.32,7124.0,Submitted,61.04716451,,MPP,NVIDIA Grace 72C 3.1GHz,NVIDIA Grace CPU,3100,HPE Cray OS,Linux,NVIDIA GH200 Superchip,72,NVIDIA Grace,HPE Cray EX254n,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Europe,50422,180259
8,5.0,59,3,LUMI,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",EuroHPC/CSC,HPE,Finland,2023,Research,2752704,2566080.0,379700.0,531505.15,13685760.0,,4586.95,7106.82,Submitted,53.42755269,,MPP,AMD Optimized 3rd Generation EPYC 64C 2GHz,AMD Zen-3 (Milan),2000,HPE Cray OS,Linux,AMD Instinct MI250X,64,AMD Zen-3 (Milan),HPE Cray EX235a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Europe,50908,180048
10,,64,10,Tuolumne,"HPE Cray EX255a, AMD 4th Gen EPYC 24C 1.8GHz, AMD Instinct MI300A, Slingshot-11, TOSS",DOE/NNSA/LLNL,HPE,United States,2024,Research,1161216,1050624.0,208100.0,288881.05,8294400.0,,,3386.62,Submitted,61.44769711,,MPP,AMD 4th Gen EPYC 24C 1.8GHz,AMD Zen-4 (Genoa),1800,TOSS,Linux,AMD Instinct MI300A,24,AMD Zen-4 (Genoa),HPE Cray EX255a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,49763,180308
11,8.0,62,8,MareNostrum 5 ACC,"BullSequana XH3000, Xeon Platinum 8460Y+ 32C 2.3GHz, NVIDIA H100 64GB, Infiniband NDR",EuroHPC/BSC,EVIDEN,Spain,2023,Research,663040,591360.0,175300.0,249435.65,6194944.0,,1146.98,4158.9,Submitted,42.15056866,,Cluster,Xeon Platinum 8460Y+ 32C 2.3GHz,Intel Sapphire Rapids,2300,RedHat 9.1,Linux,NVIDIA H100 64GB,32,Xeon Platinum (Sapphire Rapids),BullSequana XH3000,EVIDEN BullSequana,Infiniband,Infiniband NDR,Europe,50979,180238
