Rank,Site,Manufacturer,Computer,Country,Year,Processors,RMax,RPeak,Nmax,Nhalf,Processor Family,Processor,Proc. Frequency,System Family,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
1,DOE/NNSA/LLNL,IBM,eServer Blue Gene Solution,United States,2005,131072,280600.0,367000.0,1769471,0,Power,PowerPC 440,700.0,IBM BlueGene/L,CNK/SLES 9,MPP,Research,Research,Proprietary,Proprietary,North America,Americas
2,IBM Thomas J. Watson Research Center,IBM,eServer Blue Gene Solution,United States,2005,40960,91290.0,114688.0,983039,0,Power,PowerPC 440,700.0,IBM BlueGene/L,CNK/SLES 9,MPP,Research,Information Processing Service,Proprietary,Proprietary,North America,Americas
3,DOE/NNSA/LLNL,IBM,eServer pSeries p5 575 1.9 GHz,United States,2005,10240,63390.0,77824.0,1280000,0,Power,POWER5,1900.0,IBM pSeries,AIX,MPP,Research,Not Specified,SP Switch,Federation,North America,Americas
4,NASA/Ames Research Center/NAS,SGI,"SGI Altix 1.5 GHz, Voltaire Infiniband",United States,2004,10160,51870.0,60960.0,1290240,0,Intel IA-64,Intel IA-64 Itanium 2,1500.0,SGI Altix,SuSE Linux Enterprise Server 9,MPP,Research,Aerospace,Mixed,Numalink/Infiniband,North America,Americas
5,Sandia National Laboratories,Dell,"PowerEdge 1850, 3.6 GHz, Infiniband",United States,2005,8000,38270.0,57600.0,1150000,0,Intel EM64T,Intel EM64T Xeon EM64T,3600.0,Dell PowerEdge Cluster,Linux,Cluster,Research,Not Specified,Infiniband,Infiniband,North America,Americas
6,Sandia National Laboratories,Cray Inc.,"Red Storm Cray XT3, 2.0 GHz",United States,2005,10880,36190.0,43520.0,1100000,0,AMD x86_64,AMD x86_64 Opteron,2000.0,Cray XT3,UNICOS/SUSE Linux,MPP,Research,Not Specified,Cray Interconnect,XT3 Internal Interconnect,North America,Americas
7,The Earth Simulator Center,NEC,Earth-Simulator,Japan,2002,5120,35860.0,40960.0,1075200,266240,NEC,NEC,1000.0,NEC Vector,Super-UX,MPP,Research,Environment,Crossbar,Multi-stage crossbar,Eastern Asia,Asia
10,Oak Ridge National Laboratory,Cray Inc.,"Cray XT3, 2.4 GHz",United States,2005,5200,20527.0,24960.0,0,0,AMD x86_64,AMD x86_64 Opteron,2400.0,Cray XT3,UNICOS/SUSE Linux,MPP,Research,Not Specified,Cray Interconnect,XT3 Internal Interconnect,North America,Americas
11,Lawrence Livermore National Laboratory,California Digital Corporation,Intel Itanium2 Tiger4  1.4GHz - Quadrics,United States,2004,4096,19940.0,22938.0,975000,110000,Intel IA-64,Intel IA-64 Itanium 2,1400.0,NOW - Intel Itanium,Linux,Cluster,Research,Research,Quadrics,Quadrics,North America,Americas
12,"Computational Biology Research Center, AIST",IBM,eServer Blue Gene Solution,Japan,2005,8192,18200.0,22937.6,442367,0,Power,PowerPC 440,700.0,IBM BlueGene/L,CNK/SLES 9,MPP,Research,Biology,Proprietary,Proprietary,Eastern Asia,Asia
14,ERDC MSRC,Cray Inc.,"Cray XT3, 2.6 GHz",United States,2005,4096,16975.0,21299.0,0,0,AMD x86_64,AMD x86_64 Opteron,2600.0,Cray XT3,UNICOS/SUSE Linux,MPP,Research,Defense,Cray Interconnect,XT3 Internal Interconnect,North America,Americas
15,COLSA,Self-made,"Apple XServe, 2.0 GHz, Myrinet",United States,2005,3072,16180.0,24576.0,750000,160000,Power,PowerPC 970,2000.0,NOW  - PowerPC,MacOS X,Cluster,Industry,CFD,Myrinet,Myrinet,North America,Americas
16,Korea Meteorological Administration,Cray Inc.,Cray X1E (4GB),"Korea, South",2005,1020,15706.0,18442.0,0,0,Cray,Cray X1,1130.0,Cray X1,UNICOS,MPP,Research,Weather and Climate Research,Crossbar,Crossbar,Eastern Asia,Asia
17,Oak Ridge National Laboratory,Cray Inc.,Cray X1E (2GB),United States,2005,1014,14955.0,18333.0,0,0,Cray,Cray X1,1130.0,Cray X1,UNICOS,MPP,Research,Not Specified,Crossbar,Crossbar,North America,Americas
18,Los Alamos National Laboratory,Hewlett-Packard,"ASCI Q - AlphaServer SC45, 1.25 GHz",United States,2002,8192,13880.0,20480.0,633000,225000,Alpha,Alpha,1250.0,HP AlphaServer SC/GS,Tru64 UNIX,Cluster,Research,Not Specified,Quadrics,Quadrics,North America,Americas
19,Lawrence Livermore National Laboratory,IBM,eServer pSeries p5 575 1.9 GHz,United States,2005,2048,13090.0,15564.8,806400,54000,Power,POWER5,1900.0,IBM pSeries,AIX,MPP,Research,Not Specified,SP Switch,Federation,North America,Americas
21,Japan Atomic Energy Research Institute,SGI,"SGI Altix 3700 Bx2, 1.6 GHz, NUMALink",Japan,2005,2048,11814.0,13107.0,494592,0,Intel IA-64,Intel IA-64 Itanium 2,1600.0,SGI Altix,Linux,MPP,Research,Not Specified,NUMAlink,NUMAlink,Eastern Asia,Asia
22,IBM - Rochester,IBM,BlueGene/L DD1 Prototype (0.5GHz PowerPC 440 w/Custom),United States,2004,8192,11680.0,16384.0,331775,0,Power,PowerPC 440,500.0,IBM BlueGene/L,Linux,MPP,Vendor,Not Specified,Proprietary,Proprietary,North America,Americas
23,Wright-Patterson Air Force Base/DoD ASC,SGI,"SGI Altix 3700 Bx2, 1.6 GHz, NUMALink",United States,2003,2048,11652.0,13107.0,440832,0,Intel IA-64,Intel IA-64 Itanium 2,1600.0,SGI Altix,Linux,MPP,Research,Not Specified,NUMAlink,NUMAlink,North America,Americas
25,US Army Research Laboratory (ARL),Linux Networx,"LNX Cluster, Xeon 3.6 GHz, Myrinet",United States,2005,2048,10650.0,14745.6,608608,105040,Intel IA-32,Intel IA-32 Pentium 4 Xeon,3600.0,Linux Networx Evolocity,Linux,Cluster,Research,Not Specified,Myrinet,Myrinet,North America,Americas
26,China Meteorological Administration,IBM,eServer pSeries 655 (1.7 GHz Power4+),China,2005,3200,10310.0,21760.0,0,0,Power,POWER4+,1700.0,IBM pSeries,AIX,MPP,Research,Weather and Climate Research,SP Switch,Federation,Eastern Asia,Asia
27,Naval Oceanographic Office (NAVOCEANO),IBM,eServer pSeries 655 (1.7 GHz Power4+),United States,2004,2944,10310.0,20019.2,0,0,Power,POWER4+,1700.0,IBM pSeries,AIX,MPP,Research,Not Specified,SP Switch,Federation,North America,Americas
29,IBM - Almaden Research Center,IBM,eServer Blue Gene Solution,United States,2005,4096,9360.0,11468.8,331775,0,Power,PowerPC 440,700.0,IBM BlueGene/L,CNK/SLES 9,MPP,Research,Not Specified,Proprietary,Proprietary,North America,Americas
30,IBM - Deep Computing Capacity on Demand Center,IBM,eServer Blue Gene Solution,United States,2005,4096,9360.0,11468.8,331775,0,Power,PowerPC 440,700.0,IBM BlueGene/L,CNK/SLES 9,MPP,Industry,Information Processing Service,Proprietary,Proprietary,North America,Americas
31,IBM Research,IBM,eServer Blue Gene Solution,Switzerland,2005,4096,9360.0,11468.8,331775,0,Power,PowerPC 440,700.0,IBM BlueGene/L,CNK/SLES 9,MPP,Research,Research,Proprietary,Proprietary,Western Europe,Europe
32,IBM Thomas J. Watson Research Center,IBM,eServer Blue Gene Solution,United States,2005,4096,9360.0,11468.8,331775,0,Power,PowerPC 440,700.0,IBM BlueGene/L,CNK/SLES 9,MPP,Research,Not Specified,Proprietary,Proprietary,North America,Americas
33,ECMWF,IBM,eServer pSeries 690 (1.9 GHz Power4+),United Kingdom,2004,2176,9241.0,16538.0,370000,0,Power,POWER4+,1900.0,IBM pSeries,AIX,MPP,Research,Weather and Climate Research,SP Switch,Federation,Northern Europe,Europe
34,ECMWF,IBM,eServer pSeries 690 (1.9 GHz Power4+),United Kingdom,2004,2176,9241.0,16538.0,370000,0,Power,POWER4+,1900.0,IBM pSeries,AIX,MPP,Research,Weather and Climate Research,SP Switch,Federation,Northern Europe,Europe
37,HWW/Universitaet Stuttgart,NEC,SX8/576M72,Germany,2005,576,8923.0,9216.0,829440,55296,NEC,NEC,2000.0,NEC Vector,Super-UX,MPP,Industry,Information Processing Service,Crossbar,Multi-stage crossbar,Western Europe,Europe
38,Institute of Physical and Chemical Res. (RIKEN),Fujitsu,RIKEN Super Combined Cluster,Japan,2004,2048,8728.0,12534.0,474200,120000,Intel IA-32,Intel IA-32 Pentium 4 Xeon,3060.0,Fujitsu Cluster,Linux,Cluster,Research,Not Specified,Mixed,Myrinet/Infiniband,Eastern Asia,Asia
39,Pacific Northwest National Laboratory,Hewlett-Packard,"Cluster Platform 6000 rx2600 Itanium2 1.5 GHz, Quadrics",United States,2003,1936,8633.0,11616.0,835000,140000,Intel IA-64,Intel IA-64 Itanium 2,1500.0,HP Cluster Platform 6000,Redhat Linux,Cluster,Research,Not Specified,Quadrics,Quadrics,North America,Americas
41,Shanghai Supercomputer Center,Dawning,"Dawning 4000A, Opteron 2.2 GHz, Myrinet",China,2004,2560,8061.0,11264.0,728400,180000,AMD x86_64,AMD x86_64 Opteron,2200.0,NOW - AMD,Linux,Cluster,Research,Not Specified,Myrinet,Myrinet,Eastern Asia,Asia
42,Los Alamos National Laboratory,Linux Networx,"Opteron 2 GHz, Myrinet",United States,2003,2816,8051.0,11264.0,761160,109208,AMD x86_64,AMD x86_64 Opteron,2000.0,Linux Networx Evolocity,Linux,Cluster,Research,Not Specified,Myrinet,Myrinet,North America,Americas
44,Lawrence Livermore National Laboratory,Linux Networx,MCR Linux Cluster Xeon 2.4 GHz - Quadrics,United States,2002,2304,7634.0,11060.0,350000,75000,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2400.0,Linux Networx Evolocity,Linux,Cluster,Research,Not Specified,Quadrics,Quadrics,North America,Americas
46,Lawrence Livermore National Laboratory,IBM,"ASCI White, SP Power3 375 MHz",United States,2000,8192,7304.0,12288.0,640000,0,Power,POWER3,375.0,IBM SP,AIX,MPP,Research,Not Specified,SP Switch,SP Switch,North America,Americas
47,NERSC/LBNL,IBM,SP Power3 375 MHz 16 way,United States,2002,6656,7304.0,9984.0,640000,0,Power,POWER3,375.0,IBM SP,AIX,MPP,Research,Not Specified,SP Switch,SP Switch,North America,Americas
49,US Army Research Laboratory (ARL),IBM,eServer Opteron 2.2 GHz. Myrinet,United States,2004,2320,7185.0,10208.0,600000,0,AMD x86_64,AMD x86_64 Opteron,2200.0,IBM Cluster,Linux,Cluster,Research,Not Specified,Myrinet,Myrinet,North America,Americas
52,Lawrence Livermore National Laboratory,IBM,xSeries Cluster Xeon 2.4 GHz - Quadrics,United States,2003,1920,6586.0,9216.0,425000,90000,Intel IA-32,Intel IA-32 Pentium 4 Xeon,2400.0,IBM Cluster,Linux,Cluster,Research,Not Specified,Quadrics,Quadrics,North America,Americas
53,NERSC/LBNL,IBM,eServer pSeries p5 575 1.9 GHz,United States,2005,976,6415.13,7417.6,0,0,Power,POWER5,1900.0,IBM pSeries,AIX,MPP,Research,Not Specified,SP Switch,Federation,North America,Americas
54,NASA/Goddard Space Flight Center,SGI,"SGI Altix 3700 Bx2, 1.5 GHz, NUMAlink, Infiniband",United States,2005,1152,6309.1,6912.0,459648,0,Intel IA-64,Intel IA-64 Itanium 2,1500.0,SGI Altix,SuSE Linux Enterprise Server 9,MPP,Research,Not Specified,Mixed,Numalink/Infiniband,North America,Americas
55,Lawrence Livermore National Laboratory,IBM,"xSeries x335 Cluster, Xeon 3.06 GHz, Quadrics",United States,2004,1540,6232.0,9425.0,0,0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,3060.0,IBM Cluster,Linux,Cluster,Research,Not Specified,Quadrics,Quadrics,North America,Americas
57,"Grid Technology Research Center, AIST",IBM,"AIST Super Cluster P-32, Opteron 2.0 GHz, Myrinet",Japan,2004,2200,6155.0,8800.0,0,0,AMD x86_64,AMD x86_64 Opteron,2000.0,IBM Cluster,Linux,Cluster,Research,Not Specified,Myrinet,Myrinet,Eastern Asia,Asia
60,Wright-Patterson Air Force Base/DoD ASC,Hewlett-Packard,Cluster Platform 4000 DL145 Opteron 2.6 GHz Infiniband,United States,2005,2048,5904.0,10649.6,0,0,AMD x86_64,AMD x86_64 Opteron,2600.0,HP Cluster Platform 4000,Linux,Cluster,Research,Not Specified,Infiniband,Infiniband,North America,Americas
