Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,System Family,System Model,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
1,DOE/NNSA/LANL,IBM,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz , Voltaire Infiniband",United States,2008,129600,1105000.0,1456700.0,2329599,0,2483.47,Power,PowerXCell 8i,3200,IBM Cluster,BladeCenter QS22 Cluster,Linux,Cluster,Research,Not Specified,Infiniband,Infiniband,North America,Americas
2,Oak Ridge National Laboratory,Cray Inc.,Cray XT5 QC 2.3 GHz,United States,2008,150152,1059000.0,1381400.0,4712799,0,6950.6,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,Cray XT,Cray XT5 QuadCore,CNL,MPP,Research,Not Specified,Proprietary,XT4 Internal Interconnect,North America,Americas
3,NASA/Ames Research Center/NAS,SGI,"SGI Altix ICE 8200EX, Xeon QC 3.0/2.66 GHz",United States,2008,51200,487005.0,608829.0,2300760,0,2090.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Research,Not Specified,Infiniband,Infiniband,North America,Americas
4,DOE/NNSA/LLNL,IBM,eServer Blue Gene Solution,United States,2007,212992,478200.0,596378.0,2456063,0,2329.6,Power,PowerPC 440,700,IBM BlueGene,BlueGene/L,CNK/SLES 9,MPP,Research,Not Specified,Proprietary,Proprietary,North America,Americas
5,Argonne National Laboratory,IBM,Blue Gene/P Solution,United States,2007,163840,450300.0,557056.0,2580479,0,1260.0,Power,PowerPC 450,850,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Research,Research,Proprietary,Proprietary,North America,Americas
7,NERSC/LBNL,Cray Inc.,Cray XT4 QuadCore 2.3 GHz,United States,2008,38642,266300.0,355506.0,1612399,0,1150.0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,Cray XT,Cray XT4 QuadCore,CNL,MPP,Research,Not Specified,Proprietary,XT4 Internal Interconnect,North America,Americas
8,Oak Ridge National Laboratory,Cray Inc.,Cray XT4 QuadCore 2.1 GHz,United States,2008,30976,205000.0,260200.0,2466816,0,1580.71,AMD x86_64,AMD x86_64 Opteron Quad Core,2100,Cray XT,Cray XT4 QuadCore,CNL,MPP,Research,Research,Proprietary,XT4 Internal Interconnect,North America,Americas
9,NNSA/Sandia National Laboratories,Cray Inc.,"Sandia/ Cray Red Storm, XT3/4, 2.4/2.2 GHz dual/quad core",United States,2008,38208,204200.0,284000.0,2500000,0,2506.0,AMD x86_64,AMD x86_64 Opteron Dual Core,2400,Cray XT,Cray XT3,UNICOS/SUSE Linux,MPP,Research,Not Specified,Cray Interconnect,XT3 Internal Interconnect,North America,Americas
10,Shanghai Supercomputer Center,Dawning,"Dawning 5000A, QC Opteron 1.9 Ghz, Infiniband, Windows HPC 2008",China,2008,30720,180600.0,233472.0,0,0,0.0,AMD x86_64,AMD x86_64 Opteron Quad Core,1900,Dawning Cluster,Dawning 5000A,Windows HPC 2008,Cluster,Research,Research,Infiniband,Infiniband DDR,Eastern Asia,Asia
11,Forschungszentrum Juelich (FZJ),IBM,Blue Gene/P Solution,Germany,2007,65536,180000.0,222822.0,1766399,0,504.0,Power,PowerPC 450,850,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Research,Research,Proprietary,Proprietary,Western Europe,Europe
12,New Mexico Computing Applications Center (NMCAC),SGI,"SGI Altix ICE 8200, Xeon quad core 3.0 GHz",United States,2007,14336,133200.0,172032.0,1800100,0,861.63,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),3000,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Research,Research,Infiniband,Infiniband,North America,Americas
13,"Computational Research Laboratories, TATA SONS",Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 53xx 3GHz, Infiniband",India,2008,14384,132800.0,172608.0,1850000,250000,786.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),3000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Not Specified,Infiniband,Infiniband DDR,South-central Asia,Asia
17,Total Exploration Production,SGI,"SGI Altix ICE 8200EX, Xeon quad core 3.0 GHz",France,2008,10240,106100.0,122880.0,1535480,0,442.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Industry,Geophysics,Infiniband,Infiniband,Western Europe,Europe
18,Government Agency,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 53xx 2.66GHz, Infiniband",Sweden,2007,13728,102800.0,146430.0,575000,0,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2667,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Government,Defense,Infiniband,Infiniband DDR,Northern Europe,Europe
20,Pacific Northwest National Laboratory,Hewlett-Packard,"Cluster Platform 4000 DL185G5, Opteron QC 2.2 GHz, Infiniband DDR",United States,2008,18176,97071.0,159949.0,488000,0,0.0,AMD x86_64,AMD x86_64 Opteron Quad Core,2200,HP Cluster Platform 4000,HP Cluster Platform 4000 DL185G5 Cluster,Linux,Cluster,Research,Life Science,Infiniband,Infiniband DDR,North America,Americas
21,ECMWF,IBM,"Power 575, p6 4.7 GHz, Infiniband",United Kingdom,2008,8320,92980.0,156416.0,0,0,1329.7,Power,POWER6,4700,IBM pSeries,pSeries 575,AIX,MPP,Research,Not Specified,Infiniband,Infiniband,Northern Europe,Europe
22,IBM/ECMWF,IBM,"Power 575, p6 4.7 GHz, Infiniband",United States,2008,8288,92980.0,155814.0,0,0,1329.7,Power,POWER6,4700,IBM pSeries,pSeries 575,AIX,MPP,Vendor,Weather and Climate Research,Infiniband,Infiniband,North America,Americas
23,RZG/Max-Planck-Gesellschaft MPI/IPP,IBM,"Power 575, p6 4.7 GHz, Infiniband",Germany,2008,6720,92980.0,126336.0,0,0,1073.99,Power,POWER6,4700,IBM pSeries,pSeries 575,AIX,MPP,Research,Not Specified,Infiniband,Infiniband,Western Europe,Europe
24,EDF R&D,IBM,Blue Gene/P Solution,France,2008,32768,92960.0,111411.0,0,0,252.0,Power,PowerPC 450,850,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Industry,Research,Proprietary,Proprietary,Western Europe,Europe
25,IBM Thomas J. Watson Research Center,IBM,eServer Blue Gene Solution,United States,2005,40960,91290.0,114688.0,983039,0,448.0,Power,PowerPC 440,700,IBM BlueGene,BlueGene/L,CNK/SLES 9,MPP,Research,Information Processing Service,Proprietary,Proprietary,North America,Americas
26,Naval Oceanographic Office - NAVO MSRC,Cray Inc.,Cray XT5 QC 2.3 GHz,United States,2008,12733,90840.0,117134.0,0,0,588.9,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,Cray XT,Cray XT5 QuadCore,CNL,MPP,Research,Not Specified,Proprietary,XT4 Internal Interconnect,North America,Americas
28,"Stony Brook/BNL, New York Center for Computational Sciences",IBM,eServer Blue Gene Solution,United States,2007,36864,82161.0,103219.0,0,0,403.2,Power,PowerPC 440,700,IBM BlueGene,BlueGene/L,CNK/SLES 9,MPP,Research,Research,Proprietary,Proprietary,North America,Americas
30,US Army Research Laboratory (ARL),Cray Inc.,Cray XT5 QC 2.3 GHz,United States,2008,10400,76800.0,95680.0,0,0,481.0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,Cray XT,Cray XT5 QuadCore,CNL,MPP,Research,Not Specified,Proprietary,XT4 Internal Interconnect,North America,Americas
