List,Date,Systems_With_Accelerators,Total_Systems,Accel_Cores_Best,Accel_Cores_Q25,Accel_Cores_Median,Accel_Cores_Q75,Accel_Cores_Worst,Accel_Cores_Mean,Total_Cores_Best,Total_Cores_Q25,Total_Cores_Median,Total_Cores_Q75,Total_Cores_Worst,Total_Cores_Mean,Top_System_Has_Accelerator,Top_System_Accel_Cores,Top_System_Total_Cores
TOP500_201111A,201111,10,75,2520.0,3948.0,4928.0,12189.0,56994.0,13481.75,2560,7780.0,10240.0,17112.0,112800,17388.893333333333,True,56994.0,73278.0
TOP500_201206A,201206,17,98,504.0,2940.0,4032.0,8238.0,56994.0,10543.857142857143,2560,8100.0,10964.0,21767.25,163840,22677.948979591838,False,,147456.0
TOP500_201211A,201211,21,97,504.0,2992.0,5888.0,15408.0,112500.0,16805.0,3072,8640.0,13616.0,23616.0,204900,25850.21649484536,False,,147456.0
TOP500_201306A,201306,24,87,1664.0,3328.0,6356.0,15408.0,366366.0,29244.909090909092,2688,9664.0,15456.0,29760.0,462462,31838.816091954024,True,366366.0,462462.0
TOP500_201311A,201311,23,83,1900.0,3584.0,7774.0,26504.0,366366.0,37788.72727272727,2720,10496.0,16384.0,32028.0,462462,36707.9156626506,True,366366.0,462462.0
TOP500_201406A,201406,29,84,1040.0,3584.0,10374.0,28800.0,366366.0,34269.44827586207,2720,10756.0,17950.0,33680.0,462462,36701.416666666664,True,366366.0,462462.0
TOP500_201411A,201411,34,88,1040.0,3584.0,14400.0,26504.0,366366.0,31342.941176470587,2992,11130.0,22848.0,41688.0,462462,38889.27272727273,True,366366.0,462462.0
TOP500_201506A,201506,42,115,732.0,4215.0,14440.0,28320.0,366366.0,29826.404761904763,2992,11424.0,20800.0,39600.0,462462,37020.739130434784,False,,196608.0
TOP500_201511A,201511,44,110,732.0,3537.0,9084.0,27360.0,366366.0,27761.5,3200,11928.0,23760.0,40536.0,462462,38935.58181818182,False,,196608.0
TOP500_201606A,201606,36,94,1464.0,5466.0,13480.0,29055.0,366366.0,32663.333333333332,5310,15696.0,28368.0,49898.0,462462,44542.21276595745,False,,196608.0
TOP500_201611A,201611,30,95,2160.0,7125.0,15080.0,37009.5,366366.0,37345.066666666666,10692,16890.0,29440.0,54032.0,556104,53896.71578947368,False,,556104.0
TOP500_201706A,201706,33,95,2080.0,8640.0,14776.0,32256.0,419680.0,37189.393939393936,10692,19608.0,32192.0,62656.0,556104,60172.905263157896,False,,556104.0
TOP500_201711A,201711,25,76,2160.0,13440.0,20160.0,44408.0,157128.0,33923.84,12960,22884.0,38640.0,76824.0,556104,65832.23684210527,False,,556104.0
TOP500_201806A,201806,22,64,2160.0,13724.0,19040.0,46108.0,157128.0,35718.36363636364,12960,27624.0,43200.0,79475.0,556104,73684.75,False,,556104.0
TOP500_201811A,201811,18,58,2160.0,17440.0,25870.0,49768.0,157128.0,40278.22222222222,12592,32514.0,49804.0,85968.0,556104,83929.93103448275,False,,305856.0
TOP500_201906A,201906,20,59,2160.0,17520.0,26670.0,53288.0,120736.0,36651.0,12592,35456.0,55728.0,87012.0,556104,90314.10169491525,False,,448448.0
TOP500_201911A,201911,22,57,2160.0,20736.0,31488.0,54456.0,120736.0,41595.09090909091,18360,37440.0,61200.0,88400.0,556104,94243.29824561403,False,,448448.0
TOP500_202006A,202006,26,63,2160.0,24000.0,34452.0,55040.0,316160.0,54357.28,20584,38840.0,61200.0,107136.0,556104,101016.31746031746,False,,448448.0
TOP500_202011A,202011,23,66,2160.0,31488.0,40960.0,66912.0,316160.0,61487.47826086957,23040,40000.0,64448.0,101250.0,556104,97774.9696969697,False,,448448.0
TOP500_202106A,202106,22,73,2160.0,34720.0,53440.0,75676.0,316160.0,69527.27272727272,27520,43200.0,67456.0,115520.0,556104,101890.79452054795,False,,448448.0
TOP500_202111A,202111,26,76,2160.0,30400.0,51520.0,70720.0,316160.0,64841.230769230766,26400,42930.0,67584.0,111824.0,556104,99965.63157894737,False,,448448.0
TOP500_202206A,202206,31,86,2160.0,28512.0,48384.0,70720.0,316160.0,67461.67741935483,20160,40458.0,67520.0,106752.0,448448,92845.53488372093,True,297440.0,319072.0
TOP500_202211A,202211,35,87,15552.0,29840.0,48384.0,70720.0,1374912.0,103220.11428571428,17856,41976.0,67584.0,113056.0,1463616,108772.55172413793,True,1374912.0,1463616.0
TOP500_202306A,202306,41,94,4752.0,27648.0,41472.0,70720.0,1714176.0,100476.29268292683,6768,41178.0,64448.0,107136.0,1824768,108088.89361702128,True,1714176.0,1824768.0
TOP500_202311A,202311,44,99,13824.0,28944.0,43200.0,72372.0,1714176.0,101200.90909090909,17640,41988.0,67584.0,122160.0,1824768,118641.73737373737,True,1714176.0,1824768.0
TOP500_202406A,202406,52,103,7920.0,24192.0,40880.0,63828.0,1714176.0,84175.84615384616,9360,41844.0,64512.0,117908.0,1824768,112410.99029126213,True,1714176.0,1824768.0
TOP500_202411A,202411,62,111,6336.0,22248.0,42336.0,67068.0,1714176.0,79861.03225806452,7488,42660.0,64512.0,121108.0,1824768,110991.45945945945,True,1714176.0,1824768.0
TOP500_202506A,202506,71,120,6336.0,23976.0,42768.0,76680.0,1714176.0,87033.57746478873,6144,42054.0,65016.0,124384.0,1824768,118429.3,True,1714176.0,1824768.0
TOP500_202511A,202511,77,124,6336.0,24288.0,41472.0,74592.0,1714176.0,86506.90909090909,6144,37632.0,64512.0,124384.0,1824768,117859.19354838709,True,1714176.0,1824768.0
