List,Date,Count,Min_Efficiency,Q25,Median,Q75,Max_Efficiency,Mean_Efficiency,Top_System_Rmax,Top_System_Power,Top_System_Efficiency,Conversion_Applied
TOP500_200806,200806,205,0.027141203703703706,0.05571869447301973,0.06762050385903598,0.13754443127962088,0.48813708260105443,0.11330538976567202,1026.0,2345.5,0.43743338307397145,True
TOP500_200811,200811,211,0.01120625,0.05757430342957681,0.08740657908189345,0.1348120050020842,0.5303260045489007,0.11998871848818872,1105.0,2483.47,0.44494195621449023,True
TOP500_200906,200906,200,0.03801380860629416,0.0830776611423529,0.12731651836488928,0.17106875157082385,0.4583333333333333,0.14072959665138293,1105.0,2483.47,0.44494195621449023,True
TOP500_200911,200911,199,0.03801380860629416,0.09474765406513977,0.1463359426577384,0.21633562216941987,0.7229786518742646,0.17054180568773183,1759.0,6950.6,0.2530716772652721,True
TOP500_201006,201006,220,0.03801380860629416,0.13097310676563725,0.18250486787204453,0.22617976042525473,0.7733750434480362,0.18979855151437086,1759.0,6950.6,0.2530716772652721,True
TOP500_201011,201011,224,0.03801380860629416,0.14596887709991158,0.18257854171283366,0.24242896249137696,1.684201030927835,0.2206101513418641,2566.0,4040.0,0.6351485148514852,True
TOP500_201106,201106,236,0.03801380860629416,0.17701643905832387,0.19361984421915446,0.25882677340962224,2.097191697191697,0.2416995359577419,8162.0,9898.56,0.8245643810816927,True
TOP500_201111,201111,249,0.038032128514056227,0.17892356140853133,0.2,0.35432344737291516,2.0264802631578944,0.3221719500293717,10510.0,12659.89,0.8301809889343431,True
TOP500_201206,201206,234,0.08148443735035914,0.18177376106377668,0.21477526760118876,0.43994249698951576,2.1013871988318327,0.45034336864042773,16324.751,7890.0,2.069043219264892,True
TOP500_201211,201211,224,0.08526860598569788,0.1857700856217998,0.2763319273863655,0.8261349908233294,2.3511024281328496,0.5632255325006402,17590.0,8209.0,2.1427701303447435,True
TOP500_201306,201306,193,0.0872084273890143,0.23540482303319274,0.4414307468678618,0.8753341194968552,2.9729277142059725,0.6640383346914752,33862.7,17808.0,1.9015442497753816,True
TOP500_201311,201311,198,0.11553994732221247,0.23573872180451128,0.73679370203553,0.9107944296125262,2.9729277142059725,0.808044277548836,33862.7,17808.0,1.9015442497753816,True
TOP500_201406,201406,210,0.12843400937404179,0.2712678993486873,0.7276756032171581,0.9108959217300567,2.9729277142059725,0.8360422236188989,33862.7,17808.0,1.9015442497753816,True
TOP500_201411,201411,198,0.09372446341910844,0.31835709492819103,0.8141578694098662,1.0898690727526377,3.8786052518295304,0.9810772362957544,33862.7,17808.0,1.9015442497753816,True
TOP500_201506,201506,159,0.09372446341910844,0.7066280894468419,0.9107942815854666,2.027558762225429,3.8786052518295304,1.2375214611172483,33862.7,17808.0,1.9015442497753816,True
TOP500_201511,201511,170,0.21153488372093024,0.7276502195765215,0.9108375991744209,2.0809846645198755,4.7784615384615385,1.3748395423359083,33862.7,17808.0,1.9015442497753816,True
TOP500_201606,201606,162,0.21153488372093024,0.7823703703703704,1.2699938280066374,2.177961297201923,6.673844922994866,1.6544962279870703,93014.59388,15371.0,6.051304006245528,True
TOP500_201611,201611,349,0.073728,0.46561015873015876,0.7882061298076922,1.913916406584086,9.4620886981402,1.265472470849695,93014.59388,15371.0,6.051304006245528,True
TOP500_201706,201706,405,0.0997990206573613,0.6085851063829787,0.8268345771144279,1.8704583333333333,14.045731707317074,1.412862520655062,93014.594,15371.0,6.051304014052437,False
TOP500_201711,201711,238,0.15460301783264746,0.6853667513971229,1.3806666666666665,2.384958622938071,17.00929292929293,2.1136102929502028,93014.59388,15371.0,6.051304006245528,False
