Date,10G,Cray Interconnect,Custom,Custom Interconnect,Gigabit Ethernet,Infiniband,Myrinet,NUMAlink,Omnipath,Proprietary,Proprietary Network
201006,0,0,5,0,4,54,4,1,0,11,0
201011,0,0,5,0,4,57,4,1,0,9,0
201106,0,0,6,0,2,57,4,1,0,9,0
201111,0,1,0,4,2,57,4,1,0,0,6
201206,0,3,0,14,1,70,4,0,0,0,6
201211,0,3,0,17,1,69,3,0,0,0,4
201306,0,4,0,16,0,61,3,0,0,0,3
201311,0,6,0,16,0,57,1,0,0,0,3
201406,0,5,0,17,0,60,1,0,0,0,1
201411,0,5,0,18,0,64,0,0,0,0,1
201506,0,3,0,22,0,89,0,0,0,0,1
201511,0,0,0,21,0,88,0,0,0,0,1
201606,1,0,0,19,0,73,0,0,0,0,1
201611,1,0,0,19,0,60,0,0,14,0,1
201706,1,0,0,18,0,56,0,0,19,0,1
201711,0,0,0,17,0,44,0,0,14,0,1
201806,0,0,0,15,0,36,0,0,12,0,1
201811,0,0,0,13,0,28,0,0,16,0,1
201906,0,0,0,8,0,27,0,0,23,0,1
201911,0,0,0,4,0,29,0,0,23,0,1
202006,0,0,0,4,1,31,0,0,26,0,1
202011,0,0,0,4,1,36,0,0,24,0,1
202106,0,0,0,4,3,43,0,0,21,0,2
202111,0,0,0,4,5,45,0,0,20,0,2
202206,0,0,0,4,7,54,0,0,19,0,2
202211,0,0,0,4,9,54,0,0,18,0,2
202306,0,0,0,3,8,63,0,0,18,0,2
202311,0,0,0,3,11,68,0,0,15,0,2
202406,0,0,0,2,12,73,0,0,14,0,2
202411,0,0,0,1,13,82,0,0,13,0,2
202506,0,0,0,1,18,86,0,0,13,0,2
202511,0,0,0,1,21,89,0,0,11,0,2
