List,Date,Count,Lowest,Q25,Median,Q75,Highest,Mean,Top_System_Power
TOP500_200806A,200806,42,44.8,67.10249999999999,128.6,302.5,2000.0,243.4142857142857,2000.0
TOP500_200811A,200811,42,34.63,102.875,183.325,392.63,2000.0,318.47595238095244,2000.0
TOP500_200906A,200906,38,34.63,118.77499999999999,244.12,516.5999999999999,2000.0,353.41157894736847,2000.0
TOP500_200911A,200911,39,51.2,130.2,265.0,562.395,2000.0,394.58487179487184,2000.0
TOP500_201006A,201006,37,57.54,152.0,274.73,572.79,2000.0,432.83837837837837,2000.0
TOP500_201011A,201011,39,29.37,139.0,320.0,695.55,3090.0,528.3158974358975,1398.61
TOP500_201106A,201106,38,31.13,178.6575,367.575,668.4375,3090.0,545.6010526315789,1398.61
TOP500_201111A,201111,34,81.5,190.5,387.39,708.6,3090.0,632.4282352941176,1398.61
TOP500_201206A,201206,59,47.05,169.05,342.3,613.65,3422.67,583.5527118644069,3422.67
TOP500_201211A,201211,62,41.09,150.12,330.375,552.2249999999999,3422.67,557.8975806451613,3422.67
TOP500_201306A,201306,56,45.11,164.38,332.875,544.075,4510.0,633.0185714285715,4510.0
TOP500_201311A,201311,58,44.0,212.0625,322.375,532.5,4510.0,623.0505172413793,4510.0
TOP500_201406A,201406,58,44.0,210.45999999999998,349.56,532.5,4510.0,586.1855172413793,4510.0
TOP500_201411A,201411,60,39.7,221.325,369.95,544.075,4510.0,602.1705000000001,4510.0
TOP500_201506A,201506,77,39.7,192.0,328.0,540.0,4510.0,570.0349350649351,2834.0
TOP500_201511A,201511,71,53.65,199.2,370.0,574.7,4510.0,619.0150704225352,2834.0
TOP500_201606A,201606,61,95.0,255.0,435.0,680.0,4510.0,691.4214754098361,2834.0
TOP500_201611A,201611,86,142.6,324.625,528.0,818.31,19431.3,965.4100000000001,2718.7
TOP500_201706A,201706,95,58.36,333.975,540.0,870.75,19431.3,981.4602105263157,2718.7
TOP500_201711A,201711,67,79.24,361.65,580.9,886.75,19431.3,1125.5479104477613,2718.7
TOP500_201806A,201806,56,79.24,363.725,581.45,867.375,19431.3,1181.5625,2718.7
TOP500_201811A,201811,43,85.8,505.0,657.0,1371.6,19431.3,1425.6062790697672,2718.7
TOP500_201906A,201906,37,81.03,495.86,680.0,1360.8,4806.0,984.6324324324324,2718.7
TOP500_201911A,201911,32,81.03,506.5400000000001,720.075,1386.4525,4806.0,1063.3518749999998,2718.7
TOP500_202006A,202006,33,94.0,530.0,792.0,1430.0,4806.0,1096.668181818182,1476.0
TOP500_202011A,202011,33,94.0,511.54,748.1,1258.0,4806.0,986.0766666666667,1476.0
TOP500_202106A,202106,39,146.53,490.68,657.0,957.5450000000001,2834.0,822.7328205128206,1468.0
TOP500_202111A,202111,39,74.26,422.82000000000005,657.0,957.5450000000001,2834.0,811.9879487179487,1468.0
TOP500_202206A,202206,47,69.31,334.96500000000003,582.63,843.5450000000001,2834.0,706.848510638298,921.48
TOP500_202211A,202211,48,68.71,311.10249999999996,556.315,851.0025,5610.0,791.103125,5610.0
TOP500_202306A,202306,53,37.98,240.0,512.08,829.0,7404.4,755.3700000000001,7404.4
TOP500_202311A,202311,55,67.87,276.975,530.0,974.0600000000001,7404.4,876.9272727272726,7404.4
TOP500_202406A,202406,60,49.6,192.41250000000002,507.39,838.935,7493.74,794.7583333333333,7493.74
TOP500_202411A,202411,65,36.6,173.4,494.51,829.0,7493.74,734.6333846153846,7493.74
TOP500_202506A,202506,67,36.6,176.185,444.79,822.4100000000001,7493.74,716.0197014925374,7493.74
TOP500_202511A,202511,69,46.18,167.71,316.88,792.0,7493.74,674.6565217391304,7493.74
