List,Best,Worst,Sum,Count,Q25,Median,Q75,Mean
TOP500_199306A,0.0304,0.00042200000000000007,0.261824,146,0.0006039999999999999,0.001159,0.0019,0.0017933150684931508
TOP500_199311A,0.0304,0.00047200000000000003,0.30028699999999997,144,0.0008370000000000001,0.001325,0.0019,0.0020853263888888887
TOP500_199406A,0.0304,0.000822,0.5053570000000001,146,0.001159,0.001817,0.00320625,0.0034613493150684937
TOP500_199411A,0.0304,0.0011140000000000002,0.5949990000000001,153,0.0015,0.0019,0.003715,0.003888882352941177
TOP500_199506A,0.0508,0.001955,0.9019630000000001,137,0.00261,0.0037,0.0058,0.006583671532846716
TOP500_199511A,0.0884,0.002625,1.183047,151,0.0032,0.003911,0.0066749999999999995,0.00783474834437086
TOP500_199606A,0.2204,0.003306,1.527101,138,0.004,0.005246000000000001,0.0104575,0.011065949275362318
TOP500_199611A,0.36819999999999997,0.00471,2.62735,139,0.00579,0.007999,0.015215,0.018901798561151078
TOP500_199706A,0.36819999999999997,0.007679999999999999,3.6509389999999997,133,0.01014,0.0128,0.0221,0.02745066917293233
TOP500_199711A,0.36819999999999997,0.009529999999999999,4.634758000000001,134,0.013699999999999999,0.01923,0.028225,0.03458774626865672
TOP500_199806A,0.36819999999999997,0.013699999999999999,5.168768,113,0.01957,0.02318,0.0442,0.04574130973451328
TOP500_199811A,0.509,0.01712,5.882133000000001,100,0.021167500000000002,0.02763,0.05728,0.05882133000000001
TOP500_199906A,0.873,0.02477,6.937003000000001,80,0.0302,0.042585,0.0706425,0.0867125375
TOP500_199911A,0.873,0.0339,9.093219999999997,84,0.0413625,0.057800000000000004,0.107,0.10825261904761901
TOP500_200006A,1.035,0.0439,12.659289999999999,82,0.054029999999999995,0.06629,0.1705,0.15438158536585364
TOP500_200011A,1.035,0.0567,16.37392,94,0.06778,0.1003,0.18945,0.17419063829787232
TOP500_200106A,1.7090999999999998,0.0678,23.36155,97,0.088,0.132,0.253,0.24084072164948456
TOP500_200111A,4.059,0.09620000000000001,29.783279999999998,88,0.1258,0.17909999999999998,0.334025,0.3384463636363636
TOP500_200206A,4.463,0.1343,42.18150000000001,97,0.1865,0.26489999999999997,0.5552999999999999,0.4348608247422681
TOP500_200211A,4.463,0.1972,56.9359,101,0.229,0.3434,0.6183,0.5637217821782178
TOP500_200306A,4.463,0.2464,77.1435,115,0.3505,0.489,0.78975,0.6708130434782609
TOP500_200311A,10.28,0.4036,121.99752000000001,108,0.55975,0.773441,1.13825,1.1296066666666666
TOP500_200406A,9.819,0.6416000000000001,146.632192,94,0.791525,1.038,1.5298125,1.5599169361702128
TOP500_200411A,20.53,0.8547669999999999,188.27640000000002,80,1.0557500000000002,1.3565,2.04475,2.3534550000000003
TOP500_200506A,27.91,1.169,347.6446000000001,92,1.397025,2.0687,4.59425,3.778745652173914
TOP500_200511A,27.91,1.647,358.44775999999996,72,2.12725,3.36,5.483825,4.978441111111111
TOP500_200606A,38.18,2.027,492.5709299999999,83,2.88077,4.376,6.22,5.934589518072288
TOP500_200611A,62.63,2.791,727.8693300000001,86,3.7223749999999995,5.253,9.08425,8.463596860465117
TOP500_200706A,73.032,4.145,1157.3379199999997,91,5.002,7.737,13.36,12.717999120879117
TOP500_200711A,73.032,5.93733,1419.1647899999998,87,7.738085,10.7,17.055,16.31223896551724
TOP500_200806A,326.0,9.01,2660.9529200000006,98,11.5815,17.05,30.43625,27.152580816326537
TOP500_200811A,433.2,12.6044,3470.0386,93,16.68,22.59,45.61,37.31224301075269
TOP500_200906A,463.3,17.11,4259.4103,80,21.7425,29.0736,55.11600000000001,53.242628749999994
TOP500_200911A,831.7,20.051,5570.525100000001,79,26.535,43.01,72.541,70.5129759493671
TOP500_201006A,831.7,24.81,6478.1556,79,30.72,47.725,77.225,82.00196962025316
TOP500_201011A,1192.0,31.31,8577.0174,80,43.5225,62.795,94.43499999999999,107.21271750000001
TOP500_201106A,1192.0,40.31,10258.601799999999,79,52.94,75.42580000000001,122.219,129.85571898734176
TOP500_201111A,1192.0,51.88,11871.97872,75,67.79499999999999,87.1987,151.05,158.2930496
TOP500_201206A,2897.0,61.33,24203.99361,98,76.786,111.5505,189.9,246.97952663265306
TOP500_201211A,2897.0,76.51,29485.07721,97,100.4,149.396,243.9,303.9698681443299
TOP500_201306A,5168.11,96.92,34227.161680000005,87,121.0,188.725,330.756,393.4156514942529
TOP500_201311A,5168.11,119.3,38649.876670000005,83,160.95,237.2,401.97,465.66116469879523
TOP500_201406A,5168.11,135.4,40730.83057000001,84,188.967,253.06400000000002,420.69999999999993,484.89084011904777
TOP500_201411A,5168.11,153.6,52345.37967,88,204.03050000000002,288.85,759.84775,594.8338598863637
TOP500_201506A,5536.99,166.7,75570.69637,115,226.32183500000002,342.585,791.3499999999999,657.1364901739131
TOP500_201511A,5536.99,206.304,81384.02337,110,254.9445,407.18899999999996,901.8014999999999,739.8547579090908
TOP500_201606A,5536.99,288.2,84820.4807,94,384.55300000000005,682.0609999999999,1016.21025,902.3455393617021
TOP500_201611A,13554.6,357.776,110384.08200000001,95,473.111,738.0,1037.9099999999999,1161.937705263158
