List,Best,Worst,Sum,Count,Q25,Median,Q75,Mean
TOP500_199306,0.0597,0.00042200000000000007,0.861021,354,0.0006039999999999999,0.000958,0.002144,0.002432262711864407
TOP500_199311,0.124,0.00047200000000000003,1.165923,356,0.000822,0.0014,0.002144,0.003275064606741573
TOP500_199406,0.1434,0.000822,1.728525,354,0.001159,0.0019,0.004,0.004882838983050848
TOP500_199411,0.17,0.0011140000000000002,2.0273390000000004,347,0.0016,0.002144,0.0051,0.005842475504322768
TOP500_199506,0.17,0.001955,3.025066,363,0.00217,0.0037,0.0074,0.00833351515151515
TOP500_199511,0.17,0.002489,3.6014999999999997,349,0.0032749999999999997,0.00477,0.01073,0.010319484240687678
TOP500_199606,0.17,0.003306,4.367443,362,0.0043057500000000005,0.0058,0.0128,0.012064759668508286
TOP500_199611,0.229,0.00462,5.353879,361,0.0058,0.00767,0.013699999999999999,0.014830689750692521
TOP500_199706,1.068,0.00767,9.193418999999999,367,0.008675,0.0114,0.01923,0.02505018801089918
TOP500_199711,1.338,0.009513,12.263373000000001,366,0.011380000000000001,0.01418,0.0235,0.033506483606557384
TOP500_199806,1.338,0.01339,17.456365999999996,387,0.01493,0.0201,0.038700000000000005,0.04510688888888888
TOP500_199811,1.338,0.01712,23.485481,400,0.02075,0.02696,0.04025,0.0587137025
TOP500_199906,2.121,0.0247,32.125575999999995,420,0.0291,0.03417,0.05144,0.07648946666666666
TOP500_199911,2.379,0.03309,41.845336,416,0.03986,0.049350000000000005,0.07505,0.10058975
TOP500_200006,2.379,0.04382,51.570816,418,0.0466,0.05468,0.09284999999999999,0.12337515789473684
TOP500_200011,4.938,0.055299999999999995,71.70695599999999,406,0.06778,0.08425,0.1371,0.17661811822660095
TOP500_200106,7.226,0.06778,84.914316,403,0.08149999999999999,0.1013,0.16325,0.21070549875930522
TOP500_200111,7.226,0.0943,105.194226,412,0.1011,0.13845000000000002,0.2102,0.25532579126213595
TOP500_200206,35.86,0.136,180.06366599999998,403,0.16920000000000002,0.1973,0.326,0.44680810421836226
TOP500_200211,35.86,0.1958,235.77765999999997,399,0.1973,0.2452,0.4355,0.5909214536340851
TOP500_200306,35.86,0.24509999999999998,295.92006,385,0.3155,0.4127,0.561,0.7686235324675325
TOP500_200311,35.86,0.4025,407.244048,392,0.43838325,0.5665,0.9819422499999999,1.0388878775510204
TOP500_200406,35.86,0.6242580000000001,668.263482,406,0.744,0.9700500000000001,1.6962599999999999,1.6459691674876846
TOP500_200411,70.72,0.8506,942.6403559999999,420,1.013,1.2126549999999998,1.9444599999999999,2.2443817999999998
TOP500_200506,136.8,1.166,1347.07204,408,1.40902,1.7412999999999998,2.244395,3.301647156862745
TOP500_200511,280.6,1.6457,1940.04893,428,1.9181525,2.4643,3.12,4.532824602803738
TOP500_200606,280.6,2.026,2297.4830899999997,417,2.59403,3.0766999999999998,3.755,5.509551774580335
TOP500_200611,280.6,2.7369,2799.5890200000003,414,3.12,3.755,4.596775000000001,6.76229231884058
TOP500_200706,280.6,4.005,3789.24813,409,4.713,5.735,7.599,9.264665354523228
TOP500_200711,478.2,5.929600000000001,5547.00503,413,6.89472,7.925,9.949,13.431004915254238
TOP500_200806,1026.0,8.996780000000001,9039.06405,402,9.858525,12.63,15.799449999999998,22.485233955223883
TOP500_200811,1105.0,12.5935,13457.2872,407,14.89525,17.267400000000002,21.657400000000003,33.06458771498772
TOP500_200906,1105.0,17.0888,18348.586,420,18.9496,22.809200000000004,31.5278,43.687109523809525
TOP500_200911,1759.0,20.07,22406.9767,421,23.862,27.448,36.7525,53.22322256532066
TOP500_201006,1759.0,24.67,25956.5281,421,28.641,32.2423,41.3127,61.65446104513064
TOP500_201011,2566.0,31.1122,35096.0751,420,34.279,39.17715,51.204975000000005,83.56208357142857
TOP500_201106,8162.0,40.1873,48671.423800000004,421,45.0854,52.789199999999994,66.567,115.60908266033255
TOP500_201111,10510.0,50.9414,62197.65496000001,425,55.656,66.22510000000001,88.62,146.34742343529413
TOP500_201206,16324.751,60.824400000000004,99213.79310000001,402,69.9902725,85.843,121.45000000000002,246.80048034825873
TOP500_201211,17590.0,76.411,132654.30954000002,403,88.62,109.3,174.8955,329.167021191067
TOP500_201306,33862.7,96.619,189427.17645,413,113.805,143.265,230.6,458.661444188862
TOP500_201311,33862.7,117.8313,211430.5905,417,133.7,162.28877,273.973,507.02779496402877
TOP500_201406,33862.7,133.7,233032.95052,416,158.62475,190.95,316.4,560.1753618269231
TOP500_201411,33862.7,153.381,256505.13241999998,412,171.649,222.76779,353.12,622.5852728640776
TOP500_201506,33862.7,164.79072,287081.79399,385,194.032,271.015,461.793,745.6669973766233
TOP500_201511,33862.7,206.474,336423.02023,390,275.204825,384.072,562.946,862.6231287948718
TOP500_201606,93014.59388,286.1,482532.55811,406,354.65024999999997,455.85,701.3065,1188.5038377093595
TOP500_201611,93014.59388,349.333,561728.2954899999,405,437.76,563.528,861.546,1386.9834456543208
TOP500_201706,93014.594,430.459,617076.753,405,536.632,715.551,989.6,1523.6463037037038
TOP500_201711,93014.59388,548.672,715968.4746699999,424,705.5715,841.6735,1112.7825,1688.6048930896225
TOP500_201806,122300.0,715.551,1080000.45308,436,831.8530000000001,1014.5,1644.1795,2477.065259357798
TOP500_201811,143500.0,874.8,1262246.0747800001,442,1076.25,1285.05,1649.11,2855.760350180996
TOP500_201906,148600.0,1021.0,1359983.60788,441,1171.0,1608.22,1871.0,3083.8630564172336
TOP500_201911,148600.0,1142.0,1429290.4148800003,443,1432.0,1649.11,2078.0,3226.3891983747185
