List,Date,Total_Systems,Segment_Research,Segment_Industry,Segment_Academic,Segment_Vendor,Segment_Classified,Segment_Government,Segment_Others
TOP500_199306,199306,500,157,154,146,23,20,0,0
TOP500_199311,199311,500,158,139,144,39,20,0,0
TOP500_199406,199406,500,154,121,146,55,23,1,0
TOP500_199411,199411,500,173,104,153,49,21,0,0
TOP500_199506,199506,500,179,83,137,58,43,0,0
TOP500_199511,199511,500,158,128,151,28,35,0,0
TOP500_199606,199606,500,153,144,138,17,48,0,0
TOP500_199611,199611,500,157,153,139,20,31,0,0
TOP500_199706,199706,500,158,162,133,23,24,0,0
TOP500_199711,199711,500,170,161,134,13,22,0,0
TOP500_199806,199806,500,157,184,113,13,33,0,0
TOP500_199811,199811,500,128,207,100,16,45,4,0
TOP500_199906,199906,500,117,239,80,18,43,3,0
TOP500_199911,199911,500,115,245,84,18,33,5,0
TOP500_200006,200006,500,105,260,82,16,31,6,0
TOP500_200011,200011,500,112,244,94,15,27,8,0
TOP500_200106,200106,500,114,236,97,13,37,3,0
TOP500_200111,200111,500,108,260,88,12,29,3,0
TOP500_200206,200206,500,114,245,97,17,25,2,0
TOP500_200211,200211,500,117,225,101,16,32,9,0
TOP500_200306,200306,500,129,204,115,22,27,3,0
TOP500_200311,200311,500,119,214,108,27,29,3,0
TOP500_200406,200406,500,115,243,94,26,19,3,0
TOP500_200411,200411,500,109,276,80,19,15,1,0
TOP500_200506,200506,500,112,265,92,14,16,1,0
TOP500_200511,200511,500,120,266,72,16,22,4,0
TOP500_200606,200606,500,118,257,83,14,24,4,0
TOP500_200611,200611,500,133,246,86,11,20,4,0
TOP500_200706,200706,500,124,268,91,8,7,2,0
TOP500_200711,200711,500,101,286,87,8,3,15,0
TOP500_200806,200806,500,91,287,98,11,1,10,2
TOP500_200811,200811,500,85,305,93,9,1,7,0
TOP500_200906,200906,500,89,313,80,8,3,7,0
TOP500_200911,200911,500,91,312,79,4,5,9,0
TOP500_201006,201006,500,92,300,79,5,12,12,0
TOP500_201011,201011,500,110,282,80,6,10,12,0
TOP500_201106,201106,500,105,285,79,7,8,16,0
TOP500_201111,201111,500,112,288,75,8,8,9,0
TOP500_201206,201206,500,120,256,98,10,4,12,0
TOP500_201211,201211,500,121,247,97,13,4,18,0
TOP500_201306,201306,500,114,269,87,8,4,17,1
TOP500_201311,201311,500,103,282,83,12,3,16,1
TOP500_201406,201406,500,110,277,84,10,0,18,1
TOP500_201411,201411,500,118,255,88,15,0,23,1
TOP500_201506,201506,500,131,210,115,15,0,28,1
TOP500_201511,201511,500,125,229,110,6,0,30,0
TOP500_201606,201606,500,111,244,94,7,1,43,0
TOP500_201611,201611,500,107,245,95,10,3,40,0
TOP500_201706,201706,500,106,251,95,7,3,38,0
TOP500_201711,201711,500,109,275,76,8,2,30,0
TOP500_201806,201806,500,119,284,64,6,0,27,0
TOP500_201811,201811,500,115,273,58,6,0,43,5
TOP500_201906,201906,500,102,292,59,5,0,38,4
TOP500_201911,201911,500,101,292,57,8,0,36,6
TOP500_202006,202006,500,95,288,63,5,0,39,10
TOP500_202011,202011,500,103,274,66,9,0,34,14
TOP500_202106,202106,500,102,265,73,13,0,34,13
TOP500_202111,202111,500,108,258,76,15,0,31,12
TOP500_202206,202206,500,116,235,86,17,0,33,13
TOP500_202211,202211,500,121,234,87,17,0,29,12
TOP500_202306,202306,500,119,231,94,19,0,25,12
TOP500_202311,202311,500,134,208,99,19,0,27,13
TOP500_202406,202406,500,141,196,103,21,0,28,11
TOP500_202411,202411,500,142,189,111,21,0,30,7
TOP500_202506,202506,500,151,166,120,24,0,31,8
TOP500_202511,202511,500,140,171,124,24,0,30,11
