List,Date,Count,Best,Q25,Median,Q75,Worst,Mean,Top_System_Performance
TOP500_199306A,199306,146,0.975254730713246,0.5357142857142857,0.7206560738083034,0.8694673668417103,0.17859375,0.7079175631658108,0.4638388770216661
TOP500_199311A,199311,144,0.975254730713246,0.5357142857142857,0.68818359375,0.844,0.21925,0.679388096214929,0.4638388770216661
TOP500_199406A,199406,146,0.9454545454545454,0.5285937500000001,0.625,0.8,0.09864583333333335,0.6487878371152809,0.4638388770216661
TOP500_199411A,199411,153,0.9454545454545454,0.5469219219219219,0.6666666666666667,0.815,0.08884646449812761,0.6638742452512338,0.4638388770216661
TOP500_199506A,199506,137,0.9062499999999999,0.66015625,0.7048872180451128,0.8,0.2170138888888889,0.7012030080145416,0.6614583333333334
TOP500_199511A,199511,151,0.9062499999999999,0.6640625,0.7048872180451128,0.7863425925925926,0.2170138888888889,0.7000352542986094,0.6490931786474778
TOP500_199606A,199606,138,1.075,0.6588541666666667,0.6838524883637664,0.782638888888889,0.2170138888888889,0.7029806632271424,0.7174479166666667
TOP500_199611A,199611,139,0.9772727272727274,0.6541666666666667,0.7285256410256411,0.7791666666666667,0.17542067307692308,0.7190425928956652,0.5992838541666666
TOP500_199706A,199706,133,0.9772727272727272,0.65625,0.7342575187969924,0.8349358974358974,0.2931980056980057,0.7333142203776412,0.5992838541666666
TOP500_199711A,199711,134,0.9715909090909091,0.6555397727272728,0.7463972431077694,0.8349358974358974,0.3035928143712575,0.7499465563531403,0.5992838541666666
TOP500_199806A,199806,113,0.9715909090909091,0.6808333333333334,0.7316919191919192,0.8062900641025641,0.2666942604856512,0.7548672909455472,0.5992838541666666
TOP500_199811A,199811,100,0.9687500000000001,0.6966710358271156,0.732870699179293,0.8313301282051282,0.32564995979630124,0.7509231859398229,0.693082788671024
TOP500_199906A,199906,80,0.96875,0.6922079248366013,0.7306472485720115,0.8158854166666667,0.2783203125,0.7337298153577139,0.8525390625
TOP500_199911A,199911,84,0.96875,0.694559728349199,0.7327487494443261,0.8062900641025641,0.2783203125,0.7328467832989043,0.8525390625
TOP500_200006A,200006,82,0.9609375,0.6895833333333333,0.7442704451667219,0.810546875,0.2783203125,0.735495890929963,0.7700892857142857
TOP500_200011A,200011,94,0.9609375,0.6888675082101806,0.7315143034825871,0.810546875,0.3379716981132076,0.7472016475366896,0.7700892857142857
TOP500_200106A,200106,97,0.9828125,0.6875,0.7276119402985074,0.8011363636363636,0.3379716981132076,0.7365768025324838,0.824059787849566
TOP500_200111A,200111,88,0.9828125,0.6785714285714286,0.7036801881246326,0.7888671875,0.30580204778156994,0.7243796559422745,0.6711309523809523
TOP500_200206A,200206,97,0.9563492063492064,0.5376157407407407,0.6785714285714286,0.7724051688203418,0.31043419471153844,0.6521340488528342,0.7398872679045093
TOP500_200211A,200211,101,0.9563492063492064,0.5198317307692307,0.6766666666666666,0.7611882716049383,0.2788461538461538,0.653292406070004,0.7398872679045093
TOP500_200306A,200306,115,0.9563492063492064,0.5193345364436844,0.60125,0.771268419302572,0.11266121031746032,0.629634735175621,0.7398872679045093
TOP500_200311A,200311,108,0.9563492063492064,0.5197141688287252,0.6031662087912087,0.7632921006944444,0.21068001668752606,0.6323903926944264,0.5840909090909091
TOP500_200406A,200406,94,0.93125,0.5533367466444605,0.6234104370915032,0.7484788970542523,0.21068001668752606,0.645635471607875,0.6417647058823529
TOP500_200411A,200411,80,0.93125,0.5727355195333695,0.6286505229416627,0.7661632191051136,0.21068001668752606,0.6497365041923304,0.6545929917418615
TOP500_200506A,200506,92,0.9343994140625,0.5838152732683982,0.664781461922654,0.8124782986111112,0.21068001668752606,0.6825861747537195,0.6622532270311313
TOP500_200511A,200511,72,0.9343994140625,0.5993245442708334,0.6995591269454462,0.8219393093826299,0.34887881679389315,0.7011742179399856,0.6622532270311313
TOP500_200606A,200606,83,0.9335067907828476,0.6023870955936174,0.7128472222222222,0.8219393093826299,0.3652155306567071,0.6993647314131729,0.7656089579055441
TOP500_200611A,200611,86,0.9364013671875001,0.6326730365102219,0.7092188924772036,0.8218995889448671,0.24572876097800492,0.7003434484800133,0.6648055366847826
TOP500_200706A,200706,91,0.9364013671875001,0.6503205128205128,0.7510446801671489,0.8178343659078329,0.24572876097800492,0.7199461821459514,0.7959891008174387
TOP500_200711A,200711,87,0.9210205078125,0.654228990014051,0.7453728540772532,0.7977464836595696,0.24085835738371764,0.7106259351951835,0.7959891008174387
TOP500_200806A,200806,98,0.9210205078125,0.7220609782069531,0.7689122553136613,0.8134069067838308,0.2959735576923077,0.7465374948458265,0.6470719004065041
TOP500_200811A,200811,93,0.9078176398026316,0.7410918289280829,0.7789994374373775,0.8100127551020408,0.2959735576923077,0.7580825836432727,0.7476971032778199
TOP500_200906A,200906,80,0.9173465941410693,0.7209397924710426,0.7787387534375443,0.8113941730144023,0.2599431818181818,0.7525435681702847,0.7630105401844532
TOP500_200911A,200911,79,0.9625388198757764,0.7505823908693818,0.7949471210340776,0.8468910558306297,0.2599431818181818,0.779175761549594,0.8083782864363124
TOP500_201006A,201006,79,0.9625388198757764,0.7645183538883835,0.8083782864363124,0.8531995918218462,0.18209128280805312,0.7935886560309677,0.8083782864363124
TOP500_201011A,201011,80,0.9625388198757764,0.7558534246499775,0.8100949794342633,0.8602587046166689,0.18209128280805312,0.7871562321104623,0.5210632838352356
TOP500_201106A,201106,79,0.9625388198757764,0.7538187110551435,0.8039378156565657,0.8571356412780513,0.18209128280805312,0.784140000445,0.5210632838352356
TOP500_201111A,201111,75,0.9220132743362832,0.7399391275588446,0.8039378156565657,0.8571348722910328,0.4376708834525034,0.7737568746619278,0.5210632838352356
TOP500_201206A,201206,98,0.9313538024475524,0.7212938928796147,0.8122050704606045,0.8608655914603183,0.4376708834525034,0.7775084256324705,0.9095618593114708
TOP500_201211A,201211,97,0.9313517011834319,0.7321814099427156,0.8227786736136553,0.861331419677723,0.44000020721250205,0.778853419677208,0.9095618593114708
TOP500_201306A,201306,87,0.945137219551282,0.7187434078121288,0.8363005868872007,0.8712619968457338,0.4441321370753278,0.782181955183911,0.6065777354371743
TOP500_201311A,201311,83,0.971489448051948,0.7378601520746471,0.8364098751907352,0.8809021316001406,0.4902977336690861,0.7949948785852149,0.6065777354371743
TOP500_201406A,201406,84,0.9980261593341261,0.7166622277558543,0.8363552310389679,0.8881856071574674,0.48555664087780326,0.7922327522579297,0.6065777354371743
TOP500_201411A,201411,88,0.9980261593341261,0.7047316746068741,0.7933135660367032,0.8565596588573046,0.2976207100723925,0.7697653231895298,0.6065777354371743
TOP500_201506A,201506,115,0.9980261593341261,0.7108627203989135,0.7746344768914214,0.8530035018920898,0.22015503875968992,0.7656652137181914,0.7652877456713549
TOP500_201511A,201511,110,0.9980261593341261,0.6958459699513946,0.7629267514666922,0.8334952166788527,0.44815150323892866,0.7540553403322684,0.7652877456713549
TOP500_201606A,201606,94,0.9980261593341261,0.7069240874056569,0.762886254428485,0.8277949881925797,0.4350227282382429,0.751071523825358,0.7652877456713549
TOP500_201611A,201611,95,0.9877683080808081,0.696580602492357,0.7603534748829289,0.8530035018920898,0.44815150323892866,0.7535195437654247,0.5440673653546061
TOP500_201706A,201706,95,0.9877683080808081,0.621604133921482,0.742683075340983,0.8418005803030406,0.3603322926728301,0.7294954859246419,0.5440673653546062
TOP500_201711A,201711,76,0.9186100892099864,0.6446928591049348,0.7264895463465635,0.8103480818728558,0.3603322926728301,0.7135283500377465,0.5440673653546062
TOP500_201806A,201806,64,0.9095618593114707,0.6280205053985365,0.7088563050324055,0.7761483985211289,0.3603322926728301,0.6966361379651814,0.5440673653546062
TOP500_201811A,201811,58,0.9095618593114707,0.6221707092802501,0.6920686568454001,0.7505549452874167,0.34016987733256043,0.6842211726358186,0.7247415480681298
TOP500_201906A,201906,59,0.9095618593114707,0.5910027571014432,0.6708752982631374,0.7320193586108326,0.303944716752344,0.6568864510928264,0.6069389471254345
TOP500_201911A,201911,57,0.9095618593114707,0.6038894724556488,0.6708752982631374,0.724647191024641,0.303944716752344,0.6545128336363532,0.6069389471254345
TOP500_202006A,202006,63,0.9095618593114707,0.601630582788671,0.6699887112055921,0.7237166376191526,0.30394487896909583,0.6542048072968543,0.6069389001316526
TOP500_202011A,202011,66,0.8524970598118279,0.6046518411230952,0.658082757685511,0.7246867975966563,0.303944716752344,0.6506096599814152,0.6069389471254345
TOP500_202106A,202106,73,0.8524970598118279,0.6087637212591297,0.6663086491152598,0.7247415480681298,0.03795859254436728,0.6541678073016988,0.6069389471254345
TOP500_202111A,202111,76,0.9093041513480393,0.6031604795528404,0.6652083978411589,0.7278581301183454,0.03795859254436728,0.6496221580963749,0.6069389471254345
TOP500_202206A,202206,86,0.9093041513480393,0.6077875740028618,0.6669343737394647,0.7398450252370767,0.03795859254436728,0.6587665032857136,0.7482801729777038
TOP500_202211A,202211,87,0.9093041513480393,0.6054142097905417,0.6663086491152598,0.7396624065425628,0.03795859254436728,0.6555504409021313,0.6830852949096617
TOP500_202306A,202306,94,0.864215793277229,0.6046518411230952,0.6687744324083177,0.748791334617217,0.03795859254436728,0.6580716849780271,0.7839957917129117
TOP500_202311A,202311,99,0.900293429867434,0.606425488528048,0.68033203125,0.7573308785116037,0.03795859254436728,0.6668876898663538,0.7839957917129117
TOP500_202406A,202406,103,0.9206016840711211,0.600172596983054,0.6764559122260014,0.7630391122175313,0.303944716752344,0.6690916218482515,0.7874345812277947
TOP500_202411A,202411,111,0.9206016840711211,0.609471902121178,0.6764559122260014,0.7748099848468042,0.30630894071204035,0.6857925529112678,0.7874345812277947
TOP500_202506A,202506,120,0.9206016840711211,0.6041633139135678,0.6728572363659777,0.7723669697089574,0.320181731229077,0.6817143366992277,0.7874345812277947
TOP500_202511A,202511,124,0.9206016840711211,0.608307527725706,0.6861265690077787,0.79101073535124,0.320181731229077,0.6917633053749274,0.7874345812277947
