List,Date,Rank,Site,Manufacturer,Computer,Country,Year,Processors,RMax,RPeak,Nmax,Nhalf,Processor Family,Processor,Proc. Frequency,System Family,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent,Rmax_numeric,Rmax_Numeric,Power,System Model,Cores,Measured Size,Processor Cores,Accelerator,Name,Total Cores,Accelerator Cores,Rmax,Rpeak,Effeciency (%),Mflops/Watt,Processor Technology,Processor Speed (MHz),OS Family,Cores per Socket,Processor Generation,Previous Rank,First Appearance,First Rank,Accelerator/Co-Processor Cores,Accelerator/Co-Processor,Efficiency (%),Power Source,Rmax [TFlop/s],Rpeak [TFlop/s],HPCG [TFlop/s],Power (kW),Power Effeciency [GFlops/Watts],Site ID,System ID,Power Efficiency [GFlops/Watts],Memory,Energy Efficiency [GFlops/Watts]
TOP500_199306A,199306,3,NCSA,Thinking Machines Corporation,CM-5/512,United States,1993,512.0,30.4,65.54,36864.0,16384.0,Sparc,SuperSPARC I,32.0,TMC CM5,CMOST,MPP,Academic,Not Specified,Fat Tree,"Hypercube, tree",North America,Americas,30.4,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP500_199311A,199311,4,NCSA,Thinking Machines Corporation,CM-5/512,United States,1993,512.0,30.4,65.54,36864.0,16384.0,Sparc,SuperSPARC I,32.0,TMC CM5,CMOST,MPP,Academic,Not Specified,Fat Tree,"Hypercube, tree",North America,Americas,30.4,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP500_199406A,199406,8,NCSA,Thinking Machines Corporation,CM-5/512,United States,1993,512.0,30.4,65.54,36864.0,16384.0,Sparc,SuperSPARC I,32.0,TMC CM5,CMOST,MPP,Academic,Not Specified,Fat Tree,"Hypercube, tree",North America,Americas,30.4,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP500_199411A,199411,8,NCSA,Thinking Machines Corporation,CM-5/512,United States,1993,512.0,30.4,65.54,36864.0,16384.0,Sparc,SuperSPARC I,32.0,TMC CM5,CMOST,MPP,Academic,Not Specified,Fat Tree,"Hypercube, tree",North America,Americas,30.4,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP500_199506A,199506,10,Pittsburgh Supercomputing Center,Cray Inc.,T3D MC512-8,United States,1994,512.0,50.8,76.8,57856.0,7136.0,Alpha,Alpha EV4,149.9,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,North America,Americas,50.8,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP500_199511A,199511,6,Cornell Theory Center,IBM,SP2/512,United States,1994,512.0,88.4,136.19,73500.0,20150.0,Power,POWER2,66.5,IBM SP,AIX,MPP,Academic,Not Specified,,,North America,Americas,88.4,88.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP500_199606A,199606,1,University of Tokyo,Hitachi,SR2201/1024,Japan,1996,1024.0,220.4,307.2,138240.0,34560.0,PA-RISC,PA-RISC HARP-1E,150.0,Hitachi SR2xxx,HI-UX/MPP,MPP,Academic,Not Specified,Crossbar,Hyper crossbar,Eastern Asia,Asia,220.4,220.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP500_199611A,199611,1,"Center for Computational Science, University of Tsukuba",Hitachi,CP-PACS/2048,Japan,1996,2048.0,368.2,614.4,103680.0,30720.0,PA-RISC,PA-RISC HARP-1E,150.0,Hitachi SR2xxx,HI-UX/MPP,MPP,Academic,Not Specified,Crossbar,Hyper crossbar,Eastern Asia,Asia,368.2,368.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP500_199706A,199706,2,"Center for Computational Science, University of Tsukuba",Hitachi,CP-PACS/2048,Japan,1996,2048.0,368.2,614.4,103680.0,30720.0,PA-RISC,PA-RISC HARP-1E,150.0,Hitachi SR2xxx,HI-UX/MPP,MPP,Academic,Not Specified,Crossbar,Hyper crossbar,Eastern Asia,Asia,368.2,368.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP500_199711A,199711,4,"Center for Computational Science, University of Tsukuba",Hitachi,CP-PACS/2048,Japan,1996,2048.0,368.2,614.4,103680.0,30720.0,PA-RISC,PA-RISC HARP-1E,150.0,Hitachi SR2xxx,HI-UX/MPP,MPP,Academic,Not Specified,Crossbar,Hyper crossbar,Eastern Asia,Asia,368.2,368.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP500_199806A,199806,6,"Center for Computational Science, University of Tsukuba",Hitachi,CP-PACS/2048,Japan,1996,2048.0,368.2,614.4,103680.0,30720.0,PA-RISC,PA-RISC HARP-1E,150.0,Hitachi SR2xxx,HI-UX/MPP,MPP,Academic,Not Specified,Crossbar,Hyper crossbar,Eastern Asia,Asia,368.2,368.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP500_199811A,199811,7,CSAR at the University of Manchester,Cray Inc.,T3E1200,United Kingdom,1998,612.0,509.0,734.4,0.0,0.0,Alpha,Alpha EV56,598.8,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Northern Europe,Europe,509.0,509.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP500_199906A,199906,4,University of Tokyo,Hitachi,SR8000/128,Japan,1999,128.0,873.0,1024.0,120000.0,16000.0,Hitachi SR8000,Hitachi SR8000,250.0,Hitachi SR8xxx,HI-UX/MPP,MPP,Academic,Not Specified,Crossbar,Multi-dimensional crossbar,Eastern Asia,Asia,873.0,873.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP500_199911A,199911,5,University of Tokyo,Hitachi,SR8000/128,Japan,1999,128.0,873.0,1024.0,120000.0,16000.0,Hitachi SR8000,Hitachi SR8000,250.0,Hitachi SR8xxx,HI-UX/MPP,MPP,Academic,Not Specified,Crossbar,Multi-dimensional crossbar,Eastern Asia,Asia,873.0,873.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP500_200006A,200006,5,Leibniz Rechenzentrum,Hitachi,SR8000-F1/112,Germany,2000,112.0,1035.0,1344.0,120000.0,15160.0,Hitachi SR8000,Hitachi SR8000,375.0,Hitachi SR8xxx,HI-UX/MPP,MPP,Academic,Not Specified,Crossbar,Multi-dimensional crossbar,Western Europe,Europe,1035.0,1035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP500_200011A,200011,7,Leibniz Rechenzentrum,Hitachi,SR8000-F1/112,Germany,2000,112.0,1035.0,1344.0,120000.0,15160.0,Hitachi SR8000,Hitachi SR8000,375.0,Hitachi SR8xxx,HI-UX/MPP,MPP,Academic,Not Specified,Crossbar,Multi-dimensional crossbar,Western Europe,Europe,1035.0,1035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP500_200106A,200106,5,University of Tokyo,Hitachi,SR8000/MPP,Japan,2001,1152.0,1709.1,2074.0,141000.0,16000.0,Hitachi SR8000,Hitachi SR8000,450.0,Hitachi SR8xxx,HI-UX/MPP,MPP,Academic,Not Specified,Crossbar,Multi-dimensional crossbar,Eastern Asia,Asia,1709.1,1709.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP500_200111A,200111,2,Pittsburgh Supercomputing Center,Hewlett-Packard,"AlphaServer SC45, 1 GHz",United States,2001,3024.0,4059.0,6048.0,525000.0,105000.0,Alpha,Alpha,1000.0,HP AlphaServer SC/GS,Tru64 UNIX,Cluster,Academic,Not Specified,Quadrics,Quadrics,North America,Americas,4059.0,4059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP500_200206A,200206,3,Pittsburgh Supercomputing Center,Hewlett-Packard,"AlphaServer SC45, 1 GHz",United States,2001,3016.0,4463.0,6032.0,280000.0,85000.0,Alpha,Alpha,1000.0,HP AlphaServer SC/GS,Tru64 UNIX,Cluster,Academic,Not Specified,Quadrics,Quadrics,North America,Americas,4463.0,4463.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP500_200211A,200211,6,Pittsburgh Supercomputing Center,Hewlett-Packard,"AlphaServer SC45, 1 GHz",United States,2001,3016.0,4463.0,6032.0,280000.0,85000.0,Alpha,Alpha,1000.0,HP AlphaServer SC/GS,Tru64 UNIX,Cluster,Academic,Not Specified,Quadrics,Quadrics,North America,Americas,4463.0,4463.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP500_200306A,200306,9,Pittsburgh Supercomputing Center,Hewlett-Packard,"AlphaServer SC45, 1 GHz",United States,2001,3016.0,4463.0,6032.0,280000.0,85000.0,Alpha,Alpha,1000.0,HP AlphaServer SC/GS,Tru64 UNIX,Cluster,Academic,Not Specified,Quadrics,Quadrics,North America,Americas,4463.0,4463.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP500_200311A,200311,3,Virginia Tech,Self-made,1100 Dual 2.0 GHz Apple G5/Mellanox Infiniband 4X/Cisco GigE,United States,2003,2200.0,10280.0,17600.0,520000.0,152000.0,Power,PowerPC 970,2000.0,NOW  - PowerPC,MacOS X,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas,10280.0,10280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP500_200406A,200406,5,NCSA,Dell,"PowerEdge 1750, P4 Xeon 3.06 GHz, Myrinet",United States,2003,2500.0,9819.0,15300.0,630000.0,0.0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,3060.0,Dell PowerEdge Cluster,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet,North America,Americas,9819.0,9819.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP500_200411A,200411,4,Barcelona Supercomputing Center,IBM,"eServer BladeCenter JS20 (PowerPC970 2.2 GHz), Myrinet",Spain,2004,3564.0,20530.0,31363.0,812592.0,0.0,Power,PowerPC 970,2200.0,IBM Cluster,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet,Southern Europe,Europe,20530.0,20530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP500_200506A,200506,5,Barcelona Supercomputing Center,IBM,"JS20 Cluster, PPC 970, 2.2 GHz, Myrinet",Spain,2005,4800.0,27910.0,42144.0,977816.0,0.0,Power,PowerPC 970,2200.0,IBM Cluster,SuSE Linux Enterprise Server 9,Cluster,Academic,Not Specified,Myrinet,Myrinet,Southern Europe,Europe,27910.0,27910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP500_200511A,200511,8,Barcelona Supercomputing Center,IBM,"JS20 Cluster, PPC 970, 2.2 GHz, Myrinet",Spain,2005,4800.0,27910.0,42144.0,977816.0,0.0,Power,PowerPC 970,2200.0,IBM Cluster,SuSE Linux Enterprise Server 9,Cluster,Academic,Not Specified,Myrinet,Myrinet,Southern Europe,Europe,27910.0,27910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP500_200606A,200606,7,"GSIC Center, Tokyo Institute of Technology",NEC/Sun,"Sun Fire X4600 Cluster, Opteron 2.4/2.6 GHz, Infiniband",Japan,2006,10368.0,38180.0,49868.8,1334160.0,0.0,AMD x86_64,AMD x86_64 Opteron Dual Core,2400.0,Sun Fire - Cluster,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,Eastern Asia,Asia,38180.0,38180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP500_200611A,200611,5,Barcelona Supercomputing Center,IBM,"BladeCenter JS21 Cluster, PPC 970, 2.3 GHz, Myrinet",Spain,2006,10240.0,62630.0,94208.0,0.0,0.0,Power,PowerPC 970,2300.0,IBM Cluster,SuSE Linux Enterprise Server 9,Cluster,Academic,Medicine,Myrinet,Myrinet,Southern Europe,Europe,62630.0,62630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP500_200706A,200706,7,"Rensselaer Polytechnic Institute, Computional Center for Nanotechnology Innovations",IBM,eServer Blue Gene Solution,United States,2007,32768.0,73032.0,91750.0,884735.0,0.0,Power,PowerPC 440,700.0,IBM BlueGene/L,CNK/SLES 9,MPP,Academic,Research,Proprietary,Proprietary,North America,Americas,73032.0,73032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP500_200711A,200711,12,"Rensselaer Polytechnic Institute, Computational Center for Nanotechnology Innovations",IBM,eServer Blue Gene Solution,United States,2007,32768.0,73032.0,91750.0,884735.0,0.0,Power,PowerPC 440,700.0,IBM BlueGene,CNK/SLES 9,MPP,Academic,Research,Proprietary,Proprietary,North America,Americas,73032.0,73032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP500_200806A,200806,4,Texas Advanced Computing Center/Univ. of Texas,Sun Microsystems,"SunBlade x6420, Opteron Quad 2Ghz, Infiniband",United States,2008,62976.0,326000.0,503808.0,0.0,0.0,AMD x86_64,AMD x86_64 Opteron Quad Core,2000.0,Sun Blade System,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas,326000.0,326000.0,2000.0,Sun Blade x6420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
