List,Date,Count,Oldest,Q25,Median,Q75,Newest,Mean,Top_System_Year,Top_System_Rmax
TOP500_199306A,199306,146,1985,1991.0,1992.0,1993.0,1993,1991.541095890411,1993,30.4
TOP500_199311A,199311,144,1985,1991.0,1992.0,1993.0,1993,1991.8055555555557,1993,30.4
TOP500_199406A,199406,146,1985,1992.0,1993.0,1994.0,1994,1992.6164383561643,1993,30.4
TOP500_199411A,199411,153,1988,1993.0,1993.0,1994.0,1994,1992.9934640522877,1993,30.4
TOP500_199506A,199506,137,1989,1994.0,1994.0,1995.0,1995,1993.8832116788321,1994,50.8
TOP500_199511A,199511,151,1990,1994.0,1995.0,1995.0,1995,1994.291390728477,1994,88.4
TOP500_199606A,199606,138,1990,1994.0,1995.0,1996.0,1996,1994.6521739130435,1996,220.4
TOP500_199611A,199611,139,1991,1995.0,1996.0,1996.0,1996,1995.294964028777,1996,368.2
TOP500_199706A,199706,133,1991,1996.0,1996.0,1997.0,1997,1996.0075187969924,1996,368.2
TOP500_199711A,199711,134,1991,1996.0,1997.0,1997.0,1997,1996.358208955224,1996,368.2
TOP500_199806A,199806,113,1991,1997.0,1997.0,1997.0,1998,1996.5929203539822,1996,368.2
TOP500_199811A,199811,100,1993,1997.0,1997.0,1998.0,1998,1997.03,1998,509.0
TOP500_199906A,199906,80,1994,1997.0,1998.0,1998.25,1999,1997.5125,1999,873.0
TOP500_199911A,199911,84,1994,1997.0,1998.0,1999.0,1999,1998.0,1999,873.0
TOP500_200006A,200006,82,1996,1998.0,1999.0,2000.0,2000,1998.7439024390244,2000,1035.0
TOP500_200011A,200011,94,1996,1999.0,2000.0,2000.0,2000,1999.1702127659576,2000,1035.0
TOP500_200106A,200106,97,1996,2000.0,2000.0,2001.0,2001,1999.9072164948454,2001,1709.1
TOP500_200111A,200111,88,1996,2000.0,2000.0,2001.0,2001,1999.9772727272727,2001,4059.0
TOP500_200206A,200206,97,1996,2000.0,2001.0,2002.0,2002,2000.8865979381444,2001,4463.0
TOP500_200211A,200211,101,1996,2001.0,2002.0,2002.0,2002,2001.1782178217823,2001,4463.0
TOP500_200306A,200306,115,1996,2001.0,2002.0,2003.0,2003,2001.7826086956522,2001,4463.0
TOP500_200311A,200311,108,1999,2002.0,2003.0,2003.0,2003,2002.287037037037,2003,10280.0
TOP500_200406A,200406,94,1999,2002.25,2003.0,2004.0,2004,2002.9787234042553,2003,9819.0
TOP500_200411A,200411,80,1999,2003.0,2004.0,2004.0,2004,2003.325,2004,20530.0
TOP500_200506A,200506,92,2001,2004.0,2005.0,2005.0,2005,2004.1521739130435,2005,27910.0
TOP500_200511A,200511,72,2001,2004.0,2005.0,2005.0,2005,2004.4583333333333,2005,27910.0
TOP500_200606A,200606,83,2001,2005.0,2005.0,2006.0,2006,2005.012048192771,2006,38180.0
TOP500_200611A,200611,86,2001,2005.0,2006.0,2006.0,2006,2005.3953488372092,2006,62630.0
TOP500_200706A,200706,91,2001,2005.5,2006.0,2007.0,2007,2006.043956043956,2007,73032.0
TOP500_200711A,200711,87,2003,2006.0,2007.0,2007.0,2007,2006.5057471264367,2007,73032.0
TOP500_200806A,200806,98,2003,2007.0,2007.0,2008.0,2008,2007.1938775510205,2008,326000.0
TOP500_200811A,200811,93,2005,2007.0,2008.0,2008.0,2008,2007.5698924731182,2008,433200.0
TOP500_200906A,200906,80,2005,2008.0,2008.0,2008.25,2009,2007.95,2008,463300.0
TOP500_200911A,200911,79,2005,2008.0,2009.0,2009.0,2009,2008.3417721518988,2009,831700.0
TOP500_201006A,201006,79,2005,2008.0,2009.0,2009.5,2010,2008.759493670886,2009,831700.0
TOP500_201011A,201011,80,2006,2009.0,2009.0,2010.0,2010,2009.1,2010,1192000.0
TOP500_201106A,201106,79,2006,2009.0,2010.0,2011.0,2011,2009.6582278481012,2010,1192000.0
TOP500_201111A,201111,75,2006,2009.0,2010.0,2011.0,2011,2010.0266666666666,2010,1192000.0
TOP500_201206A,201206,98,2006,2010.0,2011.0,2012.0,2012,2010.7244897959183,2012,2897000.0
TOP500_201211A,201211,97,2008,2011.0,2012.0,2012.0,2012,2011.1340206185566,2012,2897000.0
TOP500_201306A,201306,87,2008,2011.0,2012.0,2012.0,2013,2011.471264367816,2012,5168110.0
TOP500_201311A,201311,83,2008,2011.0,2012.0,2013.0,2013,2011.8313253012047,2012,5168110.0
TOP500_201406A,201406,84,2009,2012.0,2012.0,2013.0,2014,2012.25,2012,5168110.0
TOP500_201411A,201411,88,2009,2012.0,2013.0,2014.0,2014,2012.6363636363637,2012,5168110.0
TOP500_201506A,201506,115,2009,2012.0,2014.0,2015.0,2015,2013.3391304347826,2015,5536990.0
TOP500_201511A,201511,110,2010,2012.25,2014.0,2015.0,2015,2013.6636363636364,2015,5536990.0
