List,Date,Count,Oldest,Q25,Median,Q75,Newest,Mean,Top_System_Year,Top_System_Rmax
TOP500_199306,199306,354,1984,1991.0,1992.0,1993.0,1993,1991.3389830508474,1993,59.7
TOP500_199311,199311,356,1985,1991.0,1992.0,1993.0,1994,1991.558988764045,1993,124.0
TOP500_199406,199406,354,1985,1991.0,1993.0,1993.0,1994,1992.231638418079,1993,143.4
TOP500_199411,199411,347,1987,1992.0,1993.0,1994.0,1994,1992.778097982709,1993,170.0
TOP500_199506,199506,363,1987,1993.0,1994.0,1995.0,1995,1993.7052341597796,1993,170.0
TOP500_199511,199511,349,1989,1994.0,1994.0,1995.0,1995,1994.0716332378224,1993,170.0
TOP500_199606,199606,362,1989,1994.0,1995.0,1995.0,1996,1994.621546961326,1996,170.0
TOP500_199611,199611,361,1989,1994.0,1995.0,1996.0,1996,1995.01108033241,1996,229.0
TOP500_199706,199706,367,1991,1995.0,1996.0,1997.0,1997,1995.9019073569482,1997,1068.0
TOP500_199711,199711,366,1992,1996.0,1997.0,1997.0,1997,1996.2513661202186,1997,1338.0
TOP500_199806,199806,387,1992,1997.0,1997.0,1998.0,1998,1996.811369509044,1997,1338.0
TOP500_199811,199811,400,1993,1997.0,1998.0,1998.0,1998,1997.3875,1997,1338.0
TOP500_199906,199906,420,1993,1998.0,1998.0,1999.0,1999,1998.0309523809524,1999,2121.0
TOP500_199911,199911,416,1993,1998.0,1999.0,1999.0,1999,1998.4254807692307,1999,2379.0
TOP500_200006,200006,418,1994,1999.0,1999.0,2000.0,2000,1999.078947368421,1999,2379.0
TOP500_200011,200011,406,1994,1999.0,2000.0,2000.0,2001,1999.3990147783252,2000,4938.0
TOP500_200106,200106,403,1994,1999.0,2000.0,2001.0,2001,1999.8535980148883,2000,7226.0
TOP500_200111,200111,412,1994,2000.0,2001.0,2001.0,2001,2000.381067961165,2000,7226.0
TOP500_200206,200206,403,1996,2001.0,2001.0,2002.0,2002,2000.9404466501242,2002,35860.0
TOP500_200211,200211,399,1996,2001.0,2002.0,2002.0,2002,2001.3408521303259,2002,35860.0
TOP500_200306,200306,385,1996,2002.0,2002.0,2003.0,2003,2001.8805194805195,2002,35860.0
TOP500_200311,200311,392,1997,2002.0,2003.0,2003.0,2004,2002.4464285714287,2002,35860.0
TOP500_200406,200406,406,1997,2003.0,2004.0,2004.0,2004,2003.3940886699506,2002,35860.0
TOP500_200411,200411,420,1998,2003.0,2004.0,2004.0,2004,2003.6142857142856,2004,70720.0
TOP500_200506,200506,408,1998,2004.0,2004.0,2005.0,2005,2004.1691176470588,2005,136800.0
TOP500_200511,200511,428,1999,2004.0,2005.0,2005.0,2005,2004.5490654205607,2005,280600.0
TOP500_200606,200606,417,2000,2005.0,2005.0,2006.0,2006,2005.0647482014388,2005,280600.0
TOP500_200611,200611,414,2000,2005.0,2006.0,2006.0,2006,2005.388888888889,2005,280600.0
TOP500_200706,200706,409,2000,2006.0,2007.0,2007.0,2007,2006.4083129584353,2005,280600.0
TOP500_200711,200711,413,2002,2007.0,2007.0,2007.0,2007,2006.7046004842614,2007,478200.0
TOP500_200806,200806,402,2002,2007.0,2008.0,2008.0,2008,2007.5223880597016,2008,1026000.0
TOP500_200811,200811,407,2002,2008.0,2008.0,2008.0,2008,2007.7764127764128,2008,1105000.0
TOP500_200906,200906,420,2005,2008.0,2009.0,2009.0,2009,2008.452380952381,2008,1105000.0
TOP500_200911,200911,421,2005,2009.0,2009.0,2009.0,2009,2008.6769596199524,2009,1759000.0
TOP500_201006,201006,421,2005,2009.0,2009.0,2010.0,2010,2009.1947743467933,2009,1759000.0
TOP500_201011,201011,420,2005,2009.0,2010.0,2010.0,2010,2009.497619047619,2010,2566000.0
TOP500_201106,201106,421,2005,2010.0,2011.0,2011.0,2011,2010.2565320665083,2011,8162000.0
TOP500_201111,201111,425,2005,2010.0,2011.0,2011.0,2011,2010.5176470588235,2011,10510000.0
TOP500_201206,201206,402,2005,2011.0,2011.0,2012.0,2012,2010.9701492537313,2011,16324751.0
TOP500_201211,201211,403,2005,2011.0,2012.0,2012.0,2012,2011.3052109181142,2012,17590000.0
TOP500_201306,201306,413,2007,2012.0,2012.0,2013.0,2013,2011.9806295399517,2013,33862700.0
TOP500_201311,201311,417,2007,2012.0,2013.0,2013.0,2013,2012.3189448441246,2013,33862700.0
TOP500_201406,201406,416,2008,2012.0,2013.0,2013.0,2014,2012.7283653846155,2013,33862700.0
TOP500_201411,201411,412,2008,2012.0,2013.0,2014.0,2014,2012.888349514563,2013,33862700.0
TOP500_201506,201506,385,2008,2012.0,2013.0,2014.0,2015,2013.1454545454546,2013,33862700.0
TOP500_201511,201511,390,2009,2013.0,2014.0,2015.0,2015,2013.7358974358974,2013,33862700.0
TOP500_201606,201606,406,2010,2014.0,2015.0,2016.0,2016,2014.5172413793102,2016,93014593.88
TOP500_201611,201611,405,2010,2015.0,2015.0,2016.0,2016,2014.9432098765433,2016,93014593.88
TOP500_201706,201706,405,2010,2015.0,2016.0,2016.0,2017,2015.437037037037,2016,93014.594
TOP500_201711,201711,424,2010,2016.0,2016.0,2017.0,2017,2015.941037735849,2016,93014.59388
TOP500_201806,201806,436,2010,2016.0,2017.0,2017.0,2018,2016.4793577981652,2018,122300.0
TOP500_201811,201811,442,2010,2017.0,2017.0,2018.0,2018,2016.9660633484164,2018,143500.0
